date,jour,heure,fin,lieu,cours,coach,capacite,presents,finie,releve
2026-05-26,Mardi,07:30,08:15,BELLY STUDIO - PARIS 8e,MICRO LAGREE - FULL BODY,Julie Lafont,8,7,True,2026-05-29 20:20
2026-05-26,Mardi,08:00,08:45,BELLY STUDIO - BOULOGNE,MICRO LAGREE - FULL BODY,Cristina S,6,0,True,2026-05-29 20:20
2026-05-26,Mardi,08:30,09:15,BELLY STUDIO - PARIS 8e,MICRO LAGREE - FULL BODY,Julie Lafont,8,4,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:45,BELLY STUDIO - BOULOGNE,MICRO LAGREE - FULL BODY,Cristina S,6,1,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:45,BELLY STUDIO - BOULOGNE,MICRO LAGREE - FULL BODY,Cristina S,6,3,True,2026-05-29 20:20
2026-05-26,Mardi,11:15,12:00,BELLY STUDIO - PARIS 11e,MICRO LAGREE - FULL BODY,Sara H,8,0,True,2026-05-29 20:20
2026-05-26,Mardi,11:15,12:00,BELLY STUDIO - PARIS 8e,MICRO LAGREE - FULL BODY,Julie Lafont,8,8,True,2026-05-29 20:20
2026-05-26,Mardi,11:30,12:15,BELLY STUDIO - PARIS 17e,MICRO LAGREE - FULL BODY,Emma Noël,10,0,True,2026-05-29 20:20
2026-05-26,Mardi,12:15,13:00,BELLY STUDIO - PARIS 11e,MICRO LAGREE - FULL BODY,Sara H,8,0,True,2026-05-29 20:20
2026-05-26,Mardi,12:15,13:00,BELLY STUDIO - PARIS 8e,MICRO LAGREE - FULL BODY,Julie Lafont,8,8,True,2026-05-29 20:20
2026-05-26,Mardi,12:30,13:15,BELLY STUDIO - PARIS 17e,MICRO LAGREE - FULL BODY,Emma Noël,10,9,True,2026-05-29 20:20
2026-05-26,Mardi,13:15,14:00,BELLY STUDIO - PARIS 11e,MICRO LAGREE - FULL BODY,Sara H,8,0,True,2026-05-29 20:20
