date,jour,heure,fin,lieu,cours,coach,capacite,presents,finie,releve
2026-06-12,Vendredi,07:30,08:20,Salle de Pilates tapis et Hot,HOT PILATES,Julie Bonifas,8,8,True,2026-06-15 08:56
2026-06-12,Vendredi,07:45,08:35,Salle de Pilates reformer,PILATES REFORMER,lisa rainaud,8,6,True,2026-06-15 08:56
2026-06-12,Vendredi,08:30,09:20,Salle de Pilates tapis et Hot,HOT PILATES,Julie Bonifas,8,4,True,2026-06-15 08:56
2026-06-12,Vendredi,08:40,09:30,Salle de Pilates reformer,PILATES REFORMER,lisa rainaud,8,8,True,2026-06-15 08:56
2026-06-12,Vendredi,09:25,10:15,Salle de Pilates tapis et Hot,HOT PILATES,Lea Guignement,8,4,True,2026-06-15 08:56
2026-06-12,Vendredi,09:40,10:30,Salle de Pilates reformer,PILATES REFORMER,lisa rainaud,8,5,True,2026-06-15 08:56
2026-06-12,Vendredi,10:20,11:10,Salle de Pilates tapis et Hot,HOT PILATES,Lea Guignement,8,5,True,2026-06-15 08:56
2026-06-12,Vendredi,11:00,11:50,Salle de Pilates reformer,PILATES REFORMER,Sarah Dalet,8,7,True,2026-06-15 08:56
2026-06-12,Vendredi,12:00,12:50,Salle de Pilates tapis et Hot,HOT PILATES,Sarah Dalet,8,0,True,2026-06-15 08:56
2026-06-12,Vendredi,12:10,13:00,Salle de Pilates reformer,PILATES REFORMER,Carla Lorz,8,6,True,2026-06-15 08:56
2026-06-12,Vendredi,13:00,13:50,Salle de Pilates tapis et Hot,HOT PILATES,Sarah Dalet,8,8,True,2026-06-15 08:56
2026-06-12,Vendredi,13:10,14:00,Salle de Pilates reformer,PILATES REFORMER,Carla Lorz,8,6,True,2026-06-15 08:56
2026-06-12,Vendredi,14:00,14:50,Salle de Pilates tapis et Hot,HOT PILATES,Carla Lorz,8,0,True,2026-06-15 08:56
2026-06-12,Vendredi,14:10,15:00,Salle de Pilates reformer,PILATES REFORMER,Channtha arnal,8,0,True,2026-06-15 08:56
2026-06-12,Vendredi,15:00,15:50,Salle de Pilates tapis et Hot,HOT PILATES,Carla Lorz,8,0,True,2026-06-15 08:56
2026-06-12,Vendredi,15:10,16:00,Salle de Pilates reformer,PILATES REFORMER,Amelie Moves,8,7,True,2026-06-15 08:56
2026-06-12,Vendredi,16:00,16:50,Salle de Pilates tapis et Hot,HOT PILATES,Carla Lorz,8,0,True,2026-06-15 08:56
2026-06-12,Vendredi,16:10,17:00,Salle de Pilates reformer,PILATES REFORMER,Amelie Moves,8,6,True,2026-06-15 08:56
2026-06-12,Vendredi,17:05,17:55,Salle de Pilates reformer,PILATES REFORMER,Sarah Dalet,8,5,True,2026-06-15 08:56
2026-06-12,Vendredi,17:10,18:00,Salle de Pilates tapis et Hot,HOT PILATES,hermione Duquet,8,5,True,2026-06-15 08:56
2026-06-12,Vendredi,18:05,18:55,Salle de Pilates reformer,PILATES REFORMER,Sarah Dalet,8,4,True,2026-06-15 08:56
2026-06-12,Vendredi,18:10,19:00,Salle de Pilates tapis et Hot,HOT PILATES,hermione Duquet,8,8,True,2026-06-15 08:56
2026-06-12,Vendredi,19:05,19:55,Salle de Pilates reformer,PILATES REFORMER,hermione Duquet,8,8,True,2026-06-15 08:56
2026-06-12,Vendredi,19:10,20:00,Salle de Pilates tapis et Hot,HOT PILATES,Eloise Aebersold,8,8,True,2026-06-15 08:56
2026-06-12,Vendredi,20:05,20:55,Salle de Pilates reformer,PILATES REFORMER,hermione Duquet,8,6,True,2026-06-15 08:56
2026-06-12,Vendredi,20:10,21:00,Salle de Pilates tapis et Hot,HOT PILATES,Eloise Aebersold,8,4,True,2026-06-15 08:56
2026-06-13,Samedi,08:00,08:50,Salle de Pilates tapis et Hot,HOT PILATES,Alizee Lomine,8,0,True,2026-06-15 08:56
2026-06-13,Samedi,08:10,09:00,Salle de Pilates reformer,PILATES REFORMER,Lucie Nahan,8,6,True,2026-06-15 08:56
2026-06-13,Samedi,09:00,09:50,Salle de Pilates tapis et Hot,HOT PILATES,Alizee Lomine,8,8,True,2026-06-15 08:56
2026-06-13,Samedi,09:10,10:00,Salle de Pilates reformer,PILATES REFORMER,Lucie Nahan,8,8,True,2026-06-15 08:56
2026-06-13,Samedi,10:00,10:50,Salle de Pilates tapis et Hot,HOT PILATES,Alizee Lomine,8,3,True,2026-06-15 08:56
2026-06-13,Samedi,10:10,11:00,Salle de Pilates reformer,PILATES REFORMER,Amelie Moves,8,6,True,2026-06-15 08:56
2026-06-13,Samedi,11:00,11:50,Salle de Pilates tapis et Hot,HOT PILATES,Alizee Lomine,8,7,True,2026-06-15 08:56
2026-06-13,Samedi,11:10,12:00,Salle de Pilates reformer,PILATES REFORMER,Amelie Moves,8,8,True,2026-06-15 08:56
2026-06-13,Samedi,12:00,12:50,Salle de Pilates tapis et Hot,HOT PILATES,KARINE VANOT,8,5,True,2026-06-15 08:56
2026-06-13,Samedi,12:10,13:00,Salle de Pilates reformer,PILATES REFORMER,Amelie Moves,8,7,True,2026-06-15 08:56
2026-06-13,Samedi,13:00,13:50,Salle de Pilates tapis et Hot,HOT PILATES,KARINE VANOT,8,5,True,2026-06-15 08:56
2026-06-13,Samedi,13:10,14:00,Salle de Pilates reformer,PILATES REFORMER,Amelie Moves,8,8,True,2026-06-15 08:56
2026-06-13,Samedi,14:05,14:55,Salle de Pilates reformer,PILATES REFORMER,lisa rainaud,8,0,True,2026-06-15 08:56
2026-06-13,Samedi,14:15,15:05,Salle de Pilates tapis et Hot,HOT PILATES,KARINE VANOT,8,7,True,2026-06-15 08:56
2026-06-13,Samedi,15:05,15:55,Salle de Pilates reformer,PILATES REFORMER,lisa rainaud,8,0,True,2026-06-15 08:56
2026-06-13,Samedi,15:15,16:05,Salle de Pilates tapis et Hot,HOT PILATES,KARINE VANOT,8,0,True,2026-06-15 08:56
2026-06-13,Samedi,16:05,16:55,Salle de Pilates reformer,PILATES REFORMER,ilona roullet,8,8,True,2026-06-15 08:56
2026-06-13,Samedi,16:15,17:05,Salle de Pilates tapis et Hot,HOT PILATES,Soukaïna  Zerrouky,8,6,True,2026-06-15 08:56
2026-06-13,Samedi,17:05,17:55,Salle de Pilates reformer,PILATES REFORMER,ilona roullet,8,7,True,2026-06-15 08:56
2026-06-13,Samedi,17:15,18:05,Salle de Pilates tapis et Hot,HOT PILATES,Soukaïna  Zerrouky,8,5,True,2026-06-15 08:56
2026-06-13,Samedi,18:05,18:55,Salle de Pilates reformer,PILATES REFORMER,ilona roullet,8,7,True,2026-06-15 08:56
2026-06-13,Samedi,18:15,19:05,Salle de Pilates tapis et Hot,HOT PILATES,Soukaïna  Zerrouky,8,5,True,2026-06-15 08:56
2026-06-14,Dimanche,08:00,08:50,Salle de Pilates tapis et Hot,HOT PILATES,Margot Lis,8,0,True,2026-06-15 08:56
2026-06-14,Dimanche,08:10,09:00,Salle de Pilates reformer,PILATES REFORMER,Lucie Nahan,8,8,True,2026-06-15 08:56
2026-06-14,Dimanche,09:00,09:50,Salle de Pilates tapis et Hot,HOT PILATES,Margot Lis,8,8,True,2026-06-15 08:56
2026-06-14,Dimanche,09:10,10:00,Salle de Pilates reformer,PILATES REFORMER,Channtha arnal,8,8,True,2026-06-15 08:56
2026-06-14,Dimanche,10:00,10:50,Salle de Pilates tapis et Hot,HOT PILATES,Margot Lis,8,8,True,2026-06-15 08:56
2026-06-14,Dimanche,10:10,11:00,Salle de Pilates reformer,PILATES REFORMER,Channtha arnal,8,5,True,2026-06-15 08:56
2026-06-14,Dimanche,11:00,11:50,Salle de Pilates tapis et Hot,HOT PILATES,KARINE VANOT,8,8,True,2026-06-15 08:56
2026-06-14,Dimanche,11:10,12:00,Salle de Pilates reformer,PILATES REFORMER,Channtha arnal,8,8,True,2026-06-15 08:56
2026-06-14,Dimanche,12:00,12:50,Salle de Pilates tapis et Hot,HOT PILATES,KARINE VANOT,8,6,True,2026-06-15 08:56
2026-06-14,Dimanche,12:10,13:00,Salle de Pilates reformer,PILATES REFORMER,Channtha arnal,8,8,True,2026-06-15 08:56
2026-06-14,Dimanche,13:00,13:50,Salle de Pilates tapis et Hot,HOT PILATES,KARINE VANOT,8,6,True,2026-06-15 08:56
2026-06-14,Dimanche,13:10,14:00,Salle de Pilates reformer,PILATES REFORMER,Carla Lorz,8,8,True,2026-06-15 08:56
2026-06-14,Dimanche,14:05,14:55,Salle de Pilates reformer,PILATES REFORMER,Carla Lorz,8,4,True,2026-06-15 08:56
2026-06-14,Dimanche,14:15,15:05,Salle de Pilates tapis et Hot,HOT PILATES,Mélodie Lefèvre,8,3,True,2026-06-15 08:56
2026-06-14,Dimanche,15:05,15:55,Salle de Pilates reformer,PILATES REFORMER,Carla Lorz,8,8,True,2026-06-15 08:56
2026-06-14,Dimanche,15:15,16:05,Salle de Pilates tapis et Hot,HOT PILATES,Mélodie Lefèvre,8,0,True,2026-06-15 08:56
2026-06-14,Dimanche,16:05,16:55,Salle de Pilates reformer,PILATES REFORMER,MIRA HANNANE,8,8,True,2026-06-15 08:56
2026-06-14,Dimanche,16:15,17:05,Salle de Pilates tapis et Hot,HOT PILATES,Lucie Nahan,8,4,True,2026-06-15 08:56
2026-06-14,Dimanche,17:05,17:55,Salle de Pilates reformer,PILATES REFORMER,MIRA HANNANE,8,6,True,2026-06-15 08:56
2026-06-14,Dimanche,17:15,18:05,Salle de Pilates tapis et Hot,HOT PILATES,Lucie Nahan,8,5,True,2026-06-15 08:56
2026-06-14,Dimanche,18:05,18:55,Salle de Pilates reformer,PILATES REFORMER,MIRA HANNANE,8,8,True,2026-06-15 08:56
2026-06-14,Dimanche,18:15,19:05,Salle de Pilates tapis et Hot,HOT PILATES,Lucie Nahan,8,7,True,2026-06-15 08:56
