date,jour,heure,fin,lieu,cours,coach,capacite,presents,finie,releve
2026-08-24,Lundi,09:30,10:45,Salle de yoga,HATHA FLOW,Benjamin Dimpre,15,1,True,2026-08-25 02:37
2026-08-24,Lundi,18:00,19:15,Salle de yoga,HATHA FLOW,Benjamin Dimpre,15,10,True,2026-08-25 02:37
2026-08-24,Lundi,19:30,21:00,Salle de yoga,VINYASA FLOW - Souplesse,Benjamin Dimpre,15,7,True,2026-08-25 02:37
2026-08-25,Mardi,12:30,13:45,Salle de yoga,EASY FLOW,Benjamin Dimpre,15,2,False,2026-08-25 02:37
2026-08-25,Mardi,19:00,20:30,Salle de yoga,VINYASA FLOW - Ancrage,Benjamin Dimpre,15,4,False,2026-08-25 02:37
2026-08-26,Mercredi,09:30,10:45,Salle de yoga,VINYASA FLOW - Ancrage,Benjamin Dimpre,15,0,False,2026-08-25 02:37
2026-08-26,Mercredi,12:30,13:45,Salle de yoga,YIN,Benjamin Dimpre,15,4,False,2026-08-25 02:37
2026-08-26,Mercredi,18:00,19:15,Salle de yoga,HATHA FLOW,Nicolas Ricard,15,2,False,2026-08-25 02:37
2026-08-26,Mercredi,19:30,21:00,Salle de yoga,VINYASA FLOW - Ancrage,Nicolas Ricard,15,0,False,2026-08-25 02:37
2026-08-27,Jeudi,19:30,21:00,Salle de yoga,VINYASA FLOW - Equilibre,Benjamin Dimpre,15,3,False,2026-08-25 02:37
