date,jour,heure,fin,lieu,cours,coach,capacite,presents,finie,releve
2026-08-03,Lundi,15:40,16:30,DETAILS PILATES,Cours Essentiel,Onnys A,8,0,True,2026-08-06 15:27
2026-08-03,Lundi,16:50,17:40,DETAILS PILATES,Cours Initial,Onnys A,8,0,True,2026-08-06 15:27
2026-08-03,Lundi,18:00,18:50,DETAILS PILATES,Cours Initial,Onnys A,8,0,True,2026-08-06 15:27
2026-08-03,Lundi,19:10,20:00,DETAILS PILATES,Cours Essentiel,Onnys A,8,0,True,2026-08-06 15:27
2026-08-04,Mardi,08:50,09:40,DETAILS PILATES,Cours Initial,Onnys A,8,0,True,2026-08-07 22:26
2026-08-04,Mardi,10:00,10:50,DETAILS PILATES,Cours Initial,Onnys A,8,0,True,2026-08-07 22:26
2026-08-04,Mardi,11:10,12:00,DETAILS PILATES,Cours Essentiel,Onnys A,8,0,True,2026-08-07 22:26
2026-08-04,Mardi,12:20,13:10,DETAILS PILATES,Cours Initial,Onnys A,8,0,True,2026-08-07 22:26
2026-08-04,Mardi,15:40,16:30,DETAILS PILATES,Cours Intensif,Onnys A,8,0,True,2026-08-07 22:26
2026-08-04,Mardi,16:50,17:40,DETAILS PILATES,Cours Initial,Onnys A,8,0,True,2026-08-07 22:26
2026-08-04,Mardi,18:00,18:50,DETAILS PILATES,Cours Initial,Onnys A,8,0,True,2026-08-07 22:26
2026-08-04,Mardi,19:10,20:00,DETAILS PILATES,Cours Essentiel,Onnys A,8,0,True,2026-08-07 22:26
2026-08-04,Mardi,20:20,21:10,DETAILS PILATES,Cours Initial,Onnys A,8,0,True,2026-08-07 22:26
2026-08-05,Mercredi,12:10,13:00,DETAILS PILATES,Cours Initial,Onnys A,8,0,True,2026-08-08 02:39
2026-08-05,Mercredi,13:20,14:10,DETAILS PILATES,Cours Essentiel,Onnys A,8,0,True,2026-08-08 02:39
2026-08-05,Mercredi,15:20,16:10,DETAILS PILATES,Cours Initial,Onnys A,8,0,True,2026-08-08 02:39
2026-08-05,Mercredi,16:50,17:40,DETAILS PILATES,Cours Essentiel,Onnys A,8,0,True,2026-08-08 02:39
