date,jour,heure,fin,lieu,cours,coach,capacite,presents,finie,releve
2026-05-29,Vendredi,12:15,13:05,Bourse Studio bootcamp,Bootcamp,Michael,28,28,False,2026-05-29 12:22
2026-05-29,Vendredi,12:15,13:05,Bourse Studio yoga,Pilates,Ophélie,26,18,False,2026-05-29 12:22
2026-05-29,Vendredi,12:15,13:05,Levallois Bootcamp Studio bootcamp,Bootcamp,Charlotte,30,22,False,2026-05-29 12:22
2026-05-29,Vendredi,12:15,13:05,Levallois Reformer Studio reformer,Pilates reformer,Soukaïna,20,20,False,2026-05-29 12:22
2026-05-29,Vendredi,12:15,13:05,Louvre Studio cycling,Cycling,Emilie,35,17,False,2026-05-29 12:22
2026-05-29,Vendredi,12:15,13:05,Nation Studio athletic,Athletic Training,Ousmane,0,0,False,2026-05-29 12:22
2026-05-29,Vendredi,12:15,13:05,Nation Studio boxing,Boxing Prime,Atef,35,16,False,2026-05-29 12:22
2026-05-29,Vendredi,12:15,13:05,Pigalle Studio bootcamp,Bootcamp,Inès,32,25,False,2026-05-29 12:22
2026-05-29,Vendredi,12:15,13:05,Place de Clichy Studio bootcamp,Bootcamp,Yoann,30,28,False,2026-05-29 12:22
2026-05-29,Vendredi,12:15,13:05,République Studio athletic,Athletic Training,Alex R.,0,0,False,2026-05-29 12:22
2026-05-29,Vendredi,12:15,13:05,République Studio boxing,Boxing,Bouba,30,30,False,2026-05-29 12:22
2026-05-29,Vendredi,12:15,13:05,République Studio reformer,Pilates reformer,Justine,18,15,False,2026-05-29 12:22
2026-05-29,Vendredi,12:30,13:20,Bourse Studio boxing,Boxing,Jérémie N.,30,20,False,2026-05-29 12:22
2026-05-29,Vendredi,12:30,13:20,Louvre Studio heat,Heat Blast,Charlène,20,9,False,2026-05-29 12:22
2026-05-29,Vendredi,12:30,13:20,Louvre Studio reformer,Pilates reformer,Léa B.,20,19,False,2026-05-29 12:22
2026-05-29,Vendredi,12:30,13:20,Nation Studio bootcamp,Bootcamp,Stéphanie,0,0,False,2026-05-29 12:22
2026-05-29,Vendredi,12:30,13:20,Nation Studio cycling,Cycling,Eva,30,29,False,2026-05-29 12:22
2026-05-29,Vendredi,12:30,13:20,Nation Studio yoga,Pilates Fondations,Thibaut,0,0,False,2026-05-29 12:22
2026-05-29,Vendredi,12:30,13:20,Pigalle Studio lift,Lift,Kim,40,27,False,2026-05-29 12:22
2026-05-29,Vendredi,12:30,13:20,Pigalle Studio reformer,Pilates reformer,Dody,18,16,False,2026-05-29 12:22
2026-05-29,Vendredi,12:30,13:20,Place de Clichy Studio cycling,Cycling,Jeremy,0,0,False,2026-05-29 12:22
2026-05-29,Vendredi,12:30,13:20,République Studio bootcamp,Bootcamp Strong,Jeson,0,0,False,2026-05-29 12:22
2026-05-29,Vendredi,12:30,13:20,République Studio cycling,Cycling,Alexandre A.,0,0,False,2026-05-29 12:22
2026-05-29,Vendredi,13:00,13:50,Bourse Studio bootcamp,Bootcamp Hyrox,Michael,28,14,False,2026-05-29 12:22
2026-05-29,Vendredi,13:00,13:50,Levallois Bootcamp Studio bootcamp,Bootcamp,Charlotte,30,6,False,2026-05-29 12:22
2026-05-29,Vendredi,13:00,13:50,République Studio lift,Lift,Julie,0,0,False,2026-05-29 12:22
2026-05-29,Vendredi,13:00,13:50,République Studio yoga,Pilates,Karine,35,15,False,2026-05-29 12:22
2026-05-29,Vendredi,13:15,14:05,Levallois Reformer Studio reformer,Pilates reformer,Soukaïna,20,19,False,2026-05-29 13:27
2026-05-29,Vendredi,13:15,14:05,Nation Studio bootcamp,Bootcamp Hyrox,Eva,20,11,False,2026-05-29 13:27
2026-05-29,Vendredi,13:15,14:05,Place de Clichy Studio bootcamp,Bootcamp Strong,Yoann,30,29,False,2026-05-29 13:27
2026-05-29,Vendredi,13:15,14:05,République Studio reformer,Pilates reformer,Justine,18,16,False,2026-05-29 13:27
2026-05-29,Vendredi,13:30,14:20,Louvre Studio reformer,Reformer Strong,Léa B.,20,11,False,2026-05-29 13:27
2026-05-29,Vendredi,13:30,14:20,Pigalle Studio reformer,Pilates reformer,Dody,18,9,False,2026-05-29 13:27
2026-05-29,Vendredi,16:15,17:05,Pigalle Studio reformer,Pilates reformer,Sara,18,5,False,2026-05-29 12:22
2026-05-29,Vendredi,16:30,17:20,République Studio reformer,Pilates reformer,Jérémie N.,18,7,False,2026-05-29 12:22
2026-05-29,Vendredi,17:00,17:50,Louvre Studio heat,Hot Pilates,Sasha,20,10,False,2026-05-29 12:22
