date,jour,heure,fin,lieu,cours,coach,capacite,presents,finie,releve
2026-08-03,Lundi,09:00,09:55,Salle Verte - Reformer,Pilates Reformer - Première Session du Matin,Alessia Magni,6,4,True,2026-08-06 15:27
2026-08-03,Lundi,10:00,10:55,Salle Rose - SpringBoards,Pilates SpringBoard & Chair,Alessia Magni,4,0,True,2026-08-06 15:27
2026-08-03,Lundi,10:00,10:55,Salle Verte - Reformer,Pilates Reformer,Alessia Magni,6,6,True,2026-08-06 15:27
2026-08-03,Lundi,10:30,11:25,Salle Orange - Tapis,Pilates Tapis,Sandra Caristan,12,0,True,2026-08-06 15:27
2026-08-03,Lundi,11:00,11:55,Salle Orange - Tapis,Total Body Workout,Laura Fassino,12,0,True,2026-08-06 15:27
2026-08-03,Lundi,11:00,11:55,Salle Verte - Reformer,Pilates Reformer Santé,Alessia Magni,5,0,True,2026-08-06 15:27
2026-08-03,Lundi,12:15,13:10,Salle Orange - Tapis,Pilates Spine Corrector,Alessia Magni,10,8,True,2026-08-06 15:27
2026-08-03,Lundi,13:30,14:25,Salle Verte - Reformer,Pilates Reformer,Amelie Lamarque,6,0,True,2026-08-06 15:27
2026-08-03,Lundi,17:30,18:25,Salle Verte - Reformer,Pilates Reformer,Philippe Rousselle,6,0,True,2026-08-06 15:27
2026-08-03,Lundi,18:00,18:55,Salle Orange - Tapis,Pilates Tapis,Marie Daric,12,12,True,2026-08-06 15:27
2026-08-03,Lundi,18:30,19:25,Salle Verte - Reformer,Pilates Reformer Jump,Eléonore Saveri,6,6,True,2026-08-06 15:27
2026-08-03,Lundi,19:00,19:55,Salle Orange - Tapis,Pilates Tapis,Marie Daric,12,0,True,2026-08-06 15:27
2026-08-03,Lundi,19:30,20:25,Salle Verte - Reformer,Pilates Reformer,Eléonore Saveri,6,6,True,2026-08-06 15:27
2026-08-03,Lundi,20:00,20:55,Salle Orange - Tapis,Pilates Tapis,Marie Daric,12,0,True,2026-08-06 15:27
2026-08-04,Mardi,07:30,08:25,Salle Verte - Reformer,Pilates Reformer - Première Session du Matin,Amelie Lamarque,6,0,True,2026-08-07 14:34
2026-08-04,Mardi,09:00,09:55,Salle Verte - Reformer,Pilates Tower,Amelie Lamarque,6,3,True,2026-08-07 14:34
2026-08-04,Mardi,10:00,10:55,Salle Orange - Tapis,Pilates Tapis,Amelie Lamarque,12,0,True,2026-08-07 14:34
2026-08-04,Mardi,11:00,11:55,Salle Orange - Tapis,Postural & Mobility,Alessia Magni,12,0,True,2026-08-07 14:34
2026-08-04,Mardi,11:00,11:55,Salle Verte - Reformer,Pilates Tower,Amelie Lamarque,6,0,True,2026-08-07 14:34
2026-08-04,Mardi,12:15,13:10,Salle Orange - Tapis,Pilates Tapis,Sandra Caristan,12,0,True,2026-08-07 14:34
2026-08-04,Mardi,12:15,13:10,Salle Verte - Reformer,Pilates Tower,Alessia Magni,6,0,True,2026-08-07 14:34
2026-08-04,Mardi,17:30,18:25,Salle Verte - Reformer,Pilates Multi Appareils,Alessia Magni,6,0,True,2026-08-07 14:34
2026-08-04,Mardi,18:30,19:25,Salle Verte - Reformer,Pilates Reformer,Marie Daric,6,6,True,2026-08-07 14:34
2026-08-04,Mardi,19:30,20:25,Salle Orange - Tapis,Pilates Tapis,Marie Daric,12,0,True,2026-08-07 14:34
2026-08-04,Mardi,19:30,20:25,Salle Verte - Reformer,Pilates Reformer,Chloé Decoster,6,6,True,2026-08-07 14:34
2026-08-04,Mardi,20:30,21:25,Salle Verte - Reformer,Pilates Reformer,Marie Daric,5,0,True,2026-08-07 14:34
2026-08-05,Mercredi,08:00,08:55,Salle Verte - Reformer,Pilates Reformer - Première Session du Matin,Alessia Magni,6,0,True,2026-08-07 14:34
2026-08-05,Mercredi,09:30,10:30,Salle Orange - Tapis,Yoga,Chris Lefrançois,12,0,True,2026-08-07 14:34
2026-08-05,Mercredi,10:00,10:55,Salle Verte - Reformer,Pilates Reformer - Première Session du Matin,Amelie Houzelle,6,0,True,2026-08-07 14:34
2026-08-05,Mercredi,11:00,11:55,Salle Verte - Reformer,Pilates Reformer,Laura Fassino,6,0,True,2026-08-07 14:34
2026-08-05,Mercredi,12:15,13:10,Salle Verte - Reformer,Pilates Tower,Laura Fassino,6,0,True,2026-08-07 14:34
2026-08-05,Mercredi,13:30,14:25,Salle Orange - Tapis,Total Body Workout,Laura Fassino,12,0,True,2026-08-07 14:34
2026-08-05,Mercredi,17:30,18:25,Salle Verte - Reformer,Pilates Tower,Marie Daric,6,0,True,2026-08-07 14:34
2026-08-05,Mercredi,18:30,19:25,Salle Orange - Tapis,Pilates Tapis,Alessia Magni,12,11,True,2026-08-07 14:34
2026-08-05,Mercredi,18:30,19:25,Salle Rose - SpringBoards,Pilates SpringBoard & Chair,Philippe Rousselle,4,0,True,2026-08-07 14:34
2026-08-05,Mercredi,18:30,19:25,Salle Verte - Reformer,Pilates Reformer,Philippe Rousselle,6,0,True,2026-08-07 14:34
2026-08-05,Mercredi,19:30,20:40,Salle Orange - Tapis,Yoga,Marie Coisnon,12,11,True,2026-08-07 14:34
2026-08-05,Mercredi,19:30,20:25,Salle Rose - SpringBoards,Pilates SpringBoard & Chair,Alessia Magni,4,0,True,2026-08-07 14:34
2026-08-05,Mercredi,19:30,20:25,Salle Verte - Reformer,Pilates Reformer Jump,Philippe Rousselle,6,6,True,2026-08-07 14:34
2026-08-06,Jeudi,09:00,09:55,Salle Verte - Reformer,Pilates Multi Appareils,Alessia Magni,6,4,True,2026-08-07 14:34
2026-08-06,Jeudi,10:00,10:55,Salle Verte - Reformer,Pilates Reformer,Alessia Magni,6,5,True,2026-08-07 14:34
2026-08-06,Jeudi,11:00,11:55,Salle Orange - Tapis,Postural & Mobility,Alessia Magni,10,9,True,2026-08-07 14:34
2026-08-06,Jeudi,11:15,12:10,Salle Verte - Reformer,Pilates Reformer,Amelie Lamarque,6,0,True,2026-08-07 14:34
2026-08-06,Jeudi,12:15,13:10,Salle Verte - Reformer,Pilates Reformer,Eléonore Saveri,6,0,True,2026-08-07 14:34
2026-08-06,Jeudi,12:30,13:25,Salle Orange - Tapis,Pilates Tapis,Amelie Lamarque,12,9,True,2026-08-07 14:34
2026-08-06,Jeudi,13:30,14:25,Salle Verte - Reformer,Pilates Reformer,Amelie Lamarque,6,0,True,2026-08-07 14:34
2026-08-06,Jeudi,17:45,18:40,Salle Verte - Reformer,Pilates Reformer,Sandra Caristan,6,0,True,2026-08-07 14:34
2026-08-06,Jeudi,18:30,19:25,Salle Rose - SpringBoards,Pilates SpringBoard & Chair,Philippe Rousselle,4,0,True,2026-08-07 14:34
