date,jour,heure,fin,lieu,cours,coach,capacite,presents,finie,releve
2026-08-03,Lundi,11:00,12:00,Studio Pilates Reformer,Pilates sur Reformer,Rachel Picquet,8,6,True,2026-08-06 15:27
2026-08-03,Lundi,12:15,13:15,Studio Pilates Reformer,Pilates sur Reformer,Rachel Picquet,8,0,True,2026-08-06 15:27
2026-08-03,Lundi,12:15,13:15,Studio Yoga & Pilates,Pilates,Linda Caufriez,16,8,True,2026-08-06 15:27
2026-08-03,Lundi,17:15,18:15,Studio Yoga & Pilates,Cardio Pilates,Anne-Sophie Caviglioli,16,0,True,2026-08-06 15:27
2026-08-03,Lundi,18:30,19:30,Studio Pilates Reformer,Pilates sur Reformer,Lea Dupire,8,8,True,2026-08-06 15:27
2026-08-03,Lundi,18:30,19:30,Studio Yoga & Pilates,Pilates Swiss Ball,Anne-Sophie Caviglioli,12,0,True,2026-08-06 15:27
2026-08-03,Lundi,19:45,20:45,Studio Yoga & Pilates,Pilates,Anne-Sophie Caviglioli,16,0,True,2026-08-06 15:27
2026-08-04,Mardi,18:15,19:15,Studio Yoga & Pilates,Hatha yoga,Cassandra Lerche,16,10,True,2026-08-07 14:34
2026-08-04,Mardi,19:30,20:30,Studio Yoga & Pilates,Pilates - Niveau 2,Cassandra Lerche,16,15,True,2026-08-07 14:34
2026-08-05,Mercredi,11:00,12:00,Studio Yoga & Pilates,Pilates,Julie Parent,16,13,True,2026-08-07 14:34
2026-08-05,Mercredi,12:30,13:30,Studio Pilates Reformer,Pilates sur Reformer,Linda Caufriez,8,6,True,2026-08-07 14:34
2026-08-05,Mercredi,17:15,18:15,Studio Yoga & Pilates,Pilates,Anne-Sophie Caviglioli,16,9,True,2026-08-07 14:34
2026-08-05,Mercredi,18:30,19:30,Studio Pilates Reformer,Pilates sur Reformer,Julie Parent,8,6,True,2026-08-07 14:34
2026-08-05,Mercredi,18:30,19:30,Studio Yoga & Pilates,Pilates Swiss Ball,Anne-Sophie Caviglioli,12,11,True,2026-08-07 14:34
2026-08-06,Jeudi,12:15,13:15,Studio Yoga & Pilates,Pilates,Hélène Denimal,16,10,True,2026-08-07 14:34
2026-08-06,Jeudi,17:00,18:00,Studio Yoga & Pilates,Pilates,Hélène Denimal,16,10,True,2026-08-07 14:34
2026-08-06,Jeudi,18:15,19:15,Studio Yoga & Pilates,Vinyasa yoga,Enza Mannino,16,12,True,2026-08-07 14:34
2026-08-07,Vendredi,10:00,11:00,Studio Yoga & Pilates,Pilates,Julie Parent,16,11,True,2026-08-07 14:34
2026-08-07,Vendredi,12:15,13:15,Studio Yoga & Pilates,Vinyasa yoga,Julie Parent,16,5,True,2026-08-07 14:34
2026-08-07,Vendredi,12:30,13:30,Studio Pilates Reformer,Pilates sur Reformer,Linda Caufriez,8,0,True,2026-08-07 14:34
2026-08-07,Vendredi,18:30,19:30,Studio Pilates Reformer,Pilates sur Reformer,Rachel Picquet,8,8,False,2026-08-07 14:34
2026-08-07,Vendredi,18:30,19:30,Studio Yoga & Pilates,Hatha yoga,Julie Parent,16,8,False,2026-08-07 14:34
2026-08-08,Samedi,09:30,11:00,Studio Yoga & Pilates,Ashtanga yoga - Série 1,Rachel Picquet,16,7,False,2026-08-07 14:34
2026-08-08,Samedi,10:00,11:00,Studio Pilates Reformer,Pilates sur Reformer,Julie Parent,8,8,False,2026-08-07 14:34
2026-08-08,Samedi,11:15,12:15,Studio Pilates Reformer,Pilates sur Reformer,Julie Parent,8,8,False,2026-08-07 14:34
2026-08-08,Samedi,11:15,12:15,Studio Yoga & Pilates,Pilates,Rachel Picquet,16,15,False,2026-08-07 14:34
2026-08-09,Dimanche,10:00,11:00,Studio Pilates Reformer,Pilates sur Reformer,Perrine  Toussaint ,8,0,False,2026-08-07 14:34
2026-08-09,Dimanche,10:00,11:00,Studio Yoga & Pilates,Pilates,Hélène Denimal,16,16,False,2026-08-07 14:34
2026-08-09,Dimanche,11:15,12:15,Studio Pilates Reformer,Pilates sur Reformer,Perrine  Toussaint ,8,8,False,2026-08-07 14:34
2026-08-09,Dimanche,11:15,12:15,Studio Yoga & Pilates,Yin & Nidra yoga,Virginie Bottin,16,16,False,2026-08-07 14:34
