date,jour,heure,fin,lieu,cours,coach,capacite,presents,finie,releve
2026-08-02,Dimanche,10:00,11:00,Grande Salle,Renfo HEGO,Thomas Fernandez,15,12,True,2026-08-05 22:54
2026-08-02,Dimanche,10:00,11:00,Petite Salle,Accès libre,Team Coach,5,0,True,2026-08-05 22:54
2026-08-02,Dimanche,10:00,12:00,Salle Hybride,Accès libre,Team Coach,5,3,True,2026-08-05 22:54
2026-08-02,Dimanche,11:00,12:00,Grande Salle,Renfo HEGO,Thomas Fernandez,15,11,True,2026-08-05 22:54
2026-08-02,Dimanche,11:00,12:00,Petite Salle,Accès libre,Team Coach,5,0,True,2026-08-05 22:54
2026-08-02,Dimanche,12:00,13:00,Grande Salle,WOD,Alessandro Mery,10,0,True,2026-08-05 22:54
2026-08-02,Dimanche,12:00,13:00,Petite Salle,Accès libre,Team Coach,5,0,True,2026-08-05 22:54
2026-08-02,Dimanche,12:15,13:30,Espaces Entraînement HEGO,HYROX®,Thomas Fernandez,15,0,True,2026-08-05 22:54
2026-08-03,Lundi,06:30,07:15,Petite Salle,Power HIIT,Antoine Cayroche,7,2,True,2026-08-06 15:28
2026-08-03,Lundi,06:30,07:15,Salle Hybride,CardioMax,Antoine Cayroche,10,0,True,2026-08-06 15:28
2026-08-03,Lundi,06:45,07:45,Grande Salle,WOD,Mathias Personne,12,0,True,2026-08-06 15:28
2026-08-03,Lundi,06:45,07:45,Grande Salle,WOD,Antoine Cayroche,12,0,True,2026-08-06 15:28
2026-08-03,Lundi,06:45,07:30,Petite Salle,CardioMax,Nicolas Baltide,12,0,True,2026-08-06 15:28
2026-08-03,Lundi,07:15,08:00,Petite Salle,Power HIIT,Omar Abouanna,7,0,True,2026-08-06 15:28
2026-08-03,Lundi,07:15,08:00,Salle Hybride,CardioMax,Antoine Cayroche,10,0,True,2026-08-06 15:28
2026-08-03,Lundi,07:30,08:30,Grande Salle,WOD,Mathias Personne,12,0,True,2026-08-06 15:28
2026-08-03,Lundi,07:30,08:30,Grande Salle,WOD,Antoine Cayroche,12,7,True,2026-08-06 15:28
2026-08-03,Lundi,08:45,11:15,Espaces Entraînement HEGO,Accès libre,Team Coach,10,1,True,2026-08-06 15:28
2026-08-03,Lundi,09:00,11:30,Espaces Entraînement HEGO,Accès libre,Team Coach,10,0,True,2026-08-06 15:28
2026-08-03,Lundi,09:00,10:00,Grande Salle,Accès libre,Team Coach,5,0,True,2026-08-06 15:28
2026-08-03,Lundi,10:00,11:00,Grande Salle,Accès libre,Team Coach,5,0,True,2026-08-06 15:28
2026-08-03,Lundi,11:30,12:30,Grande Salle,WOD,Antoine Cayroche,12,0,True,2026-08-06 15:28
2026-08-03,Lundi,11:30,12:30,Grande Salle,WOD,Mathias Personne,12,0,True,2026-08-06 15:28
2026-08-03,Lundi,11:30,12:30,Grande Salle,WOD,Fabien Thimothé,12,11,True,2026-08-06 15:28
