date,jour,heure,fin,lieu,cours,coach,capacite,presents,finie,releve
2026-08-02,Dimanche,10:30,11:30,Atelier Yoga,Pilates Barre,Cécile Angleraud,18,12,True,2026-08-05 22:54
2026-08-02,Dimanche,12:00,13:15,Atelier Yoga,Yoga Vinyasa,Annalisa Cocozza,15,7,True,2026-08-05 22:54
2026-08-02,Dimanche,18:00,19:15,Atelier Yoga,Yoga Vinyasa,Antoine Pommet,15,4,True,2026-08-05 22:54
2026-08-02,Dimanche,18:00,19:15,Mezzanine,Kundalini Yoga,Georgina Attias,12,4,True,2026-08-05 22:54
2026-08-02,Dimanche,19:30,20:45,Atelier Yoga,Yin Yoga + Nidra + Bain Sonore,Georgina Attias,20,14,True,2026-08-05 22:54
2026-08-02,Dimanche,19:30,20:30,Mezzanine,Nidra + Bain Sonore,Jeanne Pouget,12,0,True,2026-08-05 22:54
2026-08-03,Lundi,12:30,13:30,Atelier Yoga,Yoga + renforcement musculaire,Adam Migevant,15,5,True,2026-08-06 08:20
2026-08-03,Lundi,19:00,20:15,Atelier Yoga,Yoga Vinyasa,Chloé Machenaud,20,14,True,2026-08-06 08:20
2026-08-03,Lundi,20:30,21:30,Atelier Yoga,Yoga restauratif + Bain Sonore,Jeanne Pouget,18,13,True,2026-08-06 08:20
2026-08-04,Mardi,08:15,09:15,Atelier Yoga,Yoga du matin : réveil énergisant,May Ben Osman,15,0,True,2026-08-06 08:20
2026-08-04,Mardi,12:30,13:30,Atelier Yoga,Yoga intégral : dynamique et thérapeutique,Florence Dugowson,15,0,True,2026-08-06 08:20
2026-08-04,Mardi,18:15,19:15,Atelier Yoga,Pilates,Cécile Angleraud,15,0,True,2026-08-06 08:20
2026-08-04,Mardi,19:15,20:30,Atelier Yoga,Yoga Vinyasa,Annalisa Cocozza,15,8,True,2026-08-06 08:20
2026-08-04,Mardi,19:15,20:30,Mezzanine,Yin Yoga,Jeanne Pouget,12,6,True,2026-08-06 08:20
2026-08-05,Mercredi,08:15,09:15,Atelier Yoga,Yoga du matin : réveil énergisant,Antoine Pommet,15,0,True,2026-08-06 08:20
2026-08-05,Mercredi,10:00,11:00,Atelier Yoga,Yoga postnatal,Annabelle Bonnaud,15,0,True,2026-08-06 08:20
2026-08-05,Mercredi,11:15,12:15,Atelier Yoga,Yoga prénatal,Annabelle Bonnaud,15,0,True,2026-08-06 08:20
2026-08-05,Mercredi,12:45,13:45,Atelier Yoga,Yoga Vinyasa + Bain Sonore,May Ben Osman,15,0,True,2026-08-06 08:20
2026-08-05,Mercredi,19:00,20:15,Atelier Yoga,Yin Yoga + Nidra + Bain Sonore,Chloé Machenaud,25,19,True,2026-08-06 08:20
2026-08-06,Jeudi,12:30,13:30,Atelier Yoga,Pilates,Ingrid Marchais,15,0,False,2026-08-06 08:20
2026-08-06,Jeudi,19:00,20:15,Atelier Yoga,Yoga Vinyasa,Adam Migevant,18,8,False,2026-08-06 08:20
2026-08-07,Vendredi,12:30,13:30,Atelier Yoga,Yoga Vinyasa,Lori Bergeron,15,7,False,2026-08-06 08:20
2026-08-07,Vendredi,18:30,19:45,Atelier Yoga,Yoga intégral : dynamique et thérapeutique,Florence Dugowson,15,0,False,2026-08-06 08:20
2026-08-08,Samedi,10:30,11:45,Atelier Yoga,Yoga du matin : réveil énergisant,Chloé Machenaud,15,0,False,2026-08-06 08:20
2026-08-08,Samedi,12:00,13:15,Atelier Yoga,Yoga Vinyasa,Chloé Machenaud,15,7,False,2026-08-06 08:20
2026-08-08,Samedi,17:00,18:15,Atelier Yoga,Yang to Yin (English friendly),Lori Bergeron,15,9,False,2026-08-06 08:20
