date,jour,heure,fin,lieu,cours,coach,capacite,presents,finie,releve
2026-06-12,Vendredi,12:15,13:10,Sévres,C1- PILATES SUR ÉQUIPEMENT,Marie DARIC,5,2,True,2026-06-15 14:57
2026-06-12,Vendredi,13:30,14:25,Sévres,TN - PILATES AU SOL,Marie DARIC,8,0,True,2026-06-15 14:57
2026-06-12,Vendredi,16:00,16:55,Sévres,C1- PILATES SUR ÉQUIPEMENT,Fanny Lemaire,5,0,True,2026-06-15 14:57
2026-06-12,Vendredi,18:45,19:40,Sévres,C1.2 - PILATES SUR ÉQUIPEMENT,Fanny Lemaire,5,0,True,2026-06-15 14:57
2026-06-13,Samedi,09:30,10:25,Sévres,C1- PILATES SUR ÉQUIPEMENT,Fanny Lemaire,5,3,True,2026-06-15 14:57
2026-06-13,Samedi,10:30,11:25,Sévres,TN - PILATES AU SOL,Fanny Lemaire,8,5,True,2026-06-15 14:57
2026-06-13,Samedi,11:30,12:25,Sévres,C1.2 - PILATES SUR ÉQUIPEMENT,Fanny Lemaire,5,5,True,2026-06-15 14:57
2026-06-13,Samedi,16:00,16:55,Sévres,C2 - PILATES SUR ÉQUIPEMENT,Morgane Gilles,5,3,True,2026-06-15 14:57
2026-06-13,Samedi,16:00,16:55,Sévres,TN - PILATES BARRE,Morgane Gilles,8,0,True,2026-06-15 14:57
2026-06-14,Dimanche,10:00,10:55,Sévres,REFORMER FITNESS,Djibryll Ehouman,5,3,True,2026-06-17 11:33
2026-06-14,Dimanche,11:00,11:55,Sévres,REFORMER FITNESS,Djibryll Ehouman,5,0,True,2026-06-17 11:33
2026-06-15,Lundi,11:00,11:55,Sévres,C1- PILATES SUR ÉQUIPEMENT,Morgane Gilles,5,3,True,2026-06-17 11:33
2026-06-15,Lundi,12:00,12:55,Sévres,C2 - PILATES AU SOL,Morgane Gilles,8,0,True,2026-06-17 11:33
2026-06-15,Lundi,14:00,14:55,Sévres,PRO - PILATES POUR INSTRUCTEURS,Helene Masquelier,5,1,True,2026-06-17 11:33
2026-06-15,Lundi,18:30,19:25,Sévres,C1- PILATES SUR ÉQUIPEMENT,Charlène Klemm,5,0,True,2026-06-17 11:33
2026-06-15,Lundi,19:30,20:25,Sévres,C2 - PILATES SUR ÉQUIPEMENT,Charlène Klemm,5,4,True,2026-06-17 11:33
2026-06-16,Mardi,08:30,09:25,Sévres,TN - PILATES AU SOL,Helene Masquelier,8,4,True,2026-06-17 11:33
2026-06-16,Mardi,12:00,12:55,Sévres,C1- PILATES SUR ÉQUIPEMENT,Rachel Booth,5,2,True,2026-06-17 11:33
2026-06-16,Mardi,13:00,13:55,Sévres,C2 - PILATES SUR ÉQUIPEMENT,Rachel Booth,5,1,True,2026-06-17 11:33
2026-06-16,Mardi,15:00,15:55,Sévres,TN - Yoga Yin & Vinyasa,Rachel Booth,10,0,True,2026-06-17 11:33
2026-06-16,Mardi,18:30,19:25,Sévres,C1.2 - PILATES SUR ÉQUIPEMENT,Rachel Booth,5,4,True,2026-06-17 11:33
2026-06-16,Mardi,19:30,20:25,Sévres,C2 - PILATES SUR ÉQUIPEMENT,Rachel Booth,5,0,True,2026-06-17 11:33
2026-06-17,Mercredi,10:00,10:50,Sévres,SÉNIOR ACTIF - PILATES ÉQUIPEMENT,Rachel Booth,5,0,True,2026-06-17 11:33
2026-06-17,Mercredi,11:00,11:55,Sévres,TN - PILATES AU SOL,Rachel Booth,8,0,False,2026-06-17 11:33
2026-06-17,Mercredi,12:00,12:55,Sévres,C1.2 - PILATES SUR ÉQUIPEMENT,Rachel Booth,5,4,False,2026-06-17 11:33
2026-06-17,Mercredi,13:00,13:55,Sévres,C1- PILATES SUR ÉQUIPEMENT,Rachel Booth,5,0,False,2026-06-17 11:33
2026-06-17,Mercredi,18:30,19:25,Sévres,C2 - PILATES SUR ÉQUIPEMENT,Rachel Booth,5,4,False,2026-06-17 11:33
2026-06-17,Mercredi,19:30,20:25,Sévres,C2 - PILATES AU SOL,Helene Masquelier,8,6,False,2026-06-17 11:33
2026-06-18,Jeudi,08:45,09:40,Sévres,C1- PILATES SUR ÉQUIPEMENT,Helene Masquelier,5,0,False,2026-06-17 11:33
2026-06-18,Jeudi,12:00,12:55,Sévres,C2 - PILATES SUR ÉQUIPEMENT,Helene Masquelier,5,0,False,2026-06-17 11:33
2026-06-18,Jeudi,15:00,15:55,Sévres,TN - PILATES AU SOL,Helene Masquelier,8,0,False,2026-06-17 11:33
2026-06-18,Jeudi,18:00,18:55,Sévres,C1.2 - PILATES SUR ÉQUIPEMENT,Helene Masquelier,5,0,False,2026-06-17 11:33
2026-06-18,Jeudi,19:00,19:55,Sévres,C1- PILATES SUR ÉQUIPEMENT,Helene Masquelier,5,2,False,2026-06-17 11:33
2026-06-18,Jeudi,20:00,20:55,Sévres,C2 - PILATES SUR ÉQUIPEMENT,Helene Masquelier,5,0,False,2026-06-17 11:33
2026-06-19,Vendredi,12:15,13:10,Sévres,C1- PILATES SUR ÉQUIPEMENT,Marie DARIC,5,0,False,2026-06-17 11:33
2026-06-19,Vendredi,13:30,14:25,Sévres,TN - PILATES AU SOL,Marie DARIC,8,0,False,2026-06-17 11:33
2026-06-19,Vendredi,16:00,16:55,Sévres,C1- PILATES SUR ÉQUIPEMENT,Fanny Lemaire,5,0,False,2026-06-17 11:33
2026-06-19,Vendredi,18:45,19:40,Sévres,C1.2 - PILATES SUR ÉQUIPEMENT,Fanny Lemaire,5,0,False,2026-06-17 11:33
