date,jour,heure,fin,lieu,cours,coach,capacite,presents,finie,releve
2026-06-12,Vendredi,07:15,08:00,Le Hyve,Pilates - Reformer,Chloé D,8,2,True,2026-06-15 14:57
2026-06-12,Vendredi,07:15,08:00,Le Hyve,Bootcamp - Surge,Mamadou T,24,0,True,2026-06-15 14:57
2026-06-12,Vendredi,08:15,09:00,Le Hyve,Bootcamp - Blast,Mamadou T,24,4,True,2026-06-15 14:57
2026-06-12,Vendredi,08:15,09:00,Le Hyve,Pilates - Reformer,Chloé D,8,4,True,2026-06-15 14:57
2026-06-12,Vendredi,09:15,10:00,Le Hyve,Pilates - Reformer,Chloé D,8,4,True,2026-06-15 14:57
2026-06-12,Vendredi,11:45,12:30,Le Hyve,Pilates - Reformer,Mathilde A,8,7,True,2026-06-15 14:57
2026-06-12,Vendredi,11:50,12:35,Le Hyve,Hot Pilates,Yorick D,20,1,True,2026-06-15 14:57
2026-06-12,Vendredi,12:00,12:45,Le Hyve,Bootcamp - Surge,Godefroy H,24,16,True,2026-06-15 14:57
2026-06-12,Vendredi,12:10,12:55,Le Hyve,Aquacycling,Yorick D,8,0,True,2026-06-15 14:57
2026-06-12,Vendredi,12:45,13:30,Le Hyve,Pilates - Reformer,Candice L,8,5,True,2026-06-15 14:57
2026-06-12,Vendredi,12:45,13:30,Le Hyve,Hot Pilates,Yorick D,20,4,True,2026-06-15 14:57
2026-06-12,Vendredi,12:55,13:55,Le Hyve,HYROX,Godefroy H,16,9,True,2026-06-15 14:57
2026-06-12,Vendredi,13:05,13:50,Le Hyve,Aquacycling,Yorick D,8,0,True,2026-06-15 14:57
2026-06-12,Vendredi,17:00,17:45,Le Hyve,Pilates - Reformer,Léna G,8,7,True,2026-06-15 14:57
2026-06-12,Vendredi,18:00,18:45,Le Hyve,Pilates - Reformer,Léna G,8,6,True,2026-06-15 14:57
2026-06-12,Vendredi,18:00,18:45,Le Hyve,Aquacycling,Yorick D,8,0,True,2026-06-15 14:57
2026-06-12,Vendredi,18:10,18:55,Le Hyve,Bootcamp - Metcon,COACH NEUTRE,24,0,True,2026-06-15 14:57
2026-06-12,Vendredi,18:30,19:15,Le Hyve,Hot Pilates - The Burn,Kateline C,20,0,True,2026-06-15 14:57
2026-06-12,Vendredi,19:00,19:45,Le Hyve,Pilates - Reformer,Léna G,8,5,True,2026-06-15 14:57
2026-06-12,Vendredi,19:00,19:45,Le Hyve,Aquacycling,Yorick D,8,0,True,2026-06-15 14:57
2026-06-12,Vendredi,19:05,19:50,Le Hyve,Bootcamp - Surge,COACH NEUTRE,24,0,True,2026-06-15 14:57
2026-06-12,Vendredi,19:30,20:15,Le Hyve,Hot Pilates - BBL (Booty Burn Lab),Kateline C,20,0,True,2026-06-15 14:57
2026-06-12,Vendredi,20:00,21:00,Le Hyve,HYROX,COACH NEUTRE,16,0,True,2026-06-15 14:57
2026-06-12,Vendredi,20:00,20:45,Le Hyve,Pilates - Reformer,Léna G,8,5,True,2026-06-15 14:57
2026-06-12,Vendredi,20:30,21:15,Le Hyve,Hot Pilates,Kateline C,20,0,True,2026-06-15 14:57
2026-06-13,Samedi,10:00,10:45,Le Hyve,Pilates - Reformer,Thibaud B.,8,8,True,2026-06-15 14:57
2026-06-13,Samedi,10:15,11:00,Le Hyve,Bootcamp - Surge,Marina B,24,23,True,2026-06-15 14:57
2026-06-13,Samedi,11:00,11:45,Le Hyve,Pilates - Reformer,Thibaud B.,8,8,True,2026-06-15 14:57
2026-06-13,Samedi,11:15,12:00,Le Hyve,Bootcamp - Blast,Marina B,24,3,True,2026-06-15 14:57
2026-06-13,Samedi,11:30,12:15,Le Hyve,Aquacycling,Yorick D,8,0,True,2026-06-15 14:57
2026-06-13,Samedi,12:00,12:45,Le Hyve,Pilates - Reformer,Cara G,8,7,True,2026-06-15 14:57
2026-06-13,Samedi,12:15,13:00,Le Hyve,Bootcamp - Metcon,Jean B.,24,13,True,2026-06-15 14:57
2026-06-13,Samedi,12:30,13:15,Le Hyve,Aquacycling,Yorick D,8,0,True,2026-06-15 14:57
2026-06-13,Samedi,13:00,13:45,Le Hyve,Pilates - Reformer,Cara G,8,1,True,2026-06-15 14:57
2026-06-13,Samedi,13:15,14:15,Le Hyve,HYROX,Jean B.,16,10,True,2026-06-15 14:57
2026-06-13,Samedi,14:30,15:30,Le Hyve,HYROX,Jean B.,16,4,True,2026-06-15 14:57
2026-06-14,Dimanche,10:15,11:00,Le Hyve,Bootcamp - Surge,Marina B,24,0,True,2026-06-17 13:30
2026-06-14,Dimanche,10:15,11:00,Le Hyve,Pilates - Reformer,Curtis A,8,5,True,2026-06-17 13:30
2026-06-14,Dimanche,11:15,12:00,Le Hyve,Bootcamp - Metcon,Marina B,24,12,True,2026-06-17 13:30
2026-06-14,Dimanche,11:15,12:00,Le Hyve,Pilates - Reformer,Curtis A,8,5,True,2026-06-17 13:30
2026-06-14,Dimanche,12:15,13:00,Le Hyve,Bootcamp - Surge,Marina B,24,13,True,2026-06-17 13:30
2026-06-14,Dimanche,12:15,13:00,Le Hyve,Pilates - Reformer,Curtis A,8,4,True,2026-06-17 13:30
2026-06-15,Lundi,07:15,08:00,Le Hyve,Pilates - Reformer,Kateline C,8,0,True,2026-06-18 13:01
2026-06-15,Lundi,07:15,08:00,Le Hyve,Bootcamp - Surge,Mamadou T,24,0,True,2026-06-18 13:01
