date,jour,heure,fin,lieu,cours,coach,capacite,presents,finie,releve
2026-05-26,Mardi,07:30,08:20,Studio Montmartre,Le Cercle Original,Maud .,44,15,True,2026-05-29 20:20
2026-05-26,Mardi,07:45,08:35,Studio Beaubourg,Le Cercle Original,Kader .,56,0,True,2026-05-29 20:20
2026-05-26,Mardi,12:30,13:20,Studio Bastille,Le Cercle Original,Romain .,38,0,True,2026-05-29 20:20
2026-05-26,Mardi,12:30,13:20,Studio Beaubourg,Le Cercle Original,Marvin .,56,17,True,2026-05-29 20:20
2026-05-26,Mardi,12:30,13:20,Studio Montmartre,Le Cercle Original,Yaya .,44,34,True,2026-05-29 20:20
2026-05-26,Mardi,18:30,19:20,Studio Bastille,Le Cercle Original,Sabri .,38,0,True,2026-05-29 20:20
2026-05-26,Mardi,18:30,19:20,Studio Beaubourg,Le Cercle Original,Maud .,56,54,True,2026-05-29 20:20
2026-05-26,Mardi,18:30,19:20,Studio Montmartre,Le Cercle Original,Romain .,44,21,True,2026-05-29 20:20
2026-05-26,Mardi,19:30,20:20,Studio Bastille,Le Cercle Original,Sabri .,38,0,True,2026-05-29 20:20
2026-05-26,Mardi,19:30,20:20,Studio Beaubourg,Le Cercle Original,Yaya .,56,53,True,2026-05-29 20:20
2026-05-26,Mardi,19:30,20:20,Studio Montmartre,Le Cercle Original,Romain .,44,31,True,2026-05-29 20:20
2026-05-26,Mardi,20:30,21:20,Studio Beaubourg,Le Cercle Original,Justine .,56,32,True,2026-05-29 20:20
2026-05-26,Mardi,20:30,21:20,Studio Montmartre,Le Cercle Original,Laurie .,44,7,True,2026-05-29 20:20
2026-05-27,Mercredi,07:30,08:20,Studio Montmartre,Le Cercle Original,Maud .,44,16,True,2026-05-29 20:20
2026-05-27,Mercredi,07:45,08:35,Studio Beaubourg,Le Cercle Original,Coach remplaçant .,56,0,True,2026-05-29 20:20
2026-05-27,Mercredi,12:30,13:20,Studio Bastille,Le Cercle Original,Maud .,38,0,True,2026-05-29 20:20
2026-05-27,Mercredi,12:30,13:20,Studio Beaubourg,Le Cercle Original,Yaya .,56,33,True,2026-05-29 20:20
2026-05-27,Mercredi,12:30,13:20,Studio Montmartre,Le Cercle Original,Anne K .,44,29,True,2026-05-29 20:20
2026-05-27,Mercredi,18:30,19:20,Studio Bastille,Le Cercle Original,Marvin .,38,0,True,2026-05-29 20:20
2026-05-27,Mercredi,18:30,19:20,Studio Beaubourg,Le Cercle Focus - Arms & Abs 🥊,Romain .,56,41,True,2026-05-29 20:20
2026-05-27,Mercredi,18:30,19:20,Studio Montmartre,Le Cercle Focus - Arms & Abs 🥊,Yaya .,44,40,True,2026-05-29 20:20
2026-05-27,Mercredi,19:30,20:20,Studio Bastille,Le Cercle Original,Marvin .,38,0,True,2026-05-29 20:20
2026-05-27,Mercredi,19:30,20:20,Studio Beaubourg,Le Cercle Original,Rafaël .,56,43,True,2026-05-29 20:20
2026-05-27,Mercredi,19:30,20:20,Studio Montmartre,Le Cercle Original,Sabri .,44,30,True,2026-05-29 20:20
2026-05-27,Mercredi,20:30,21:20,Studio Beaubourg,Le Cercle Original,Rafaël .,56,13,True,2026-05-29 20:20
