date,jour,heure,fin,lieu,cours,coach,capacite,presents,finie,releve
2026-06-12,Vendredi,08:00,08:50,Studio 1 (Tapis),POWER PILATES,Coline P,12,0,True,2026-06-15 08:56
2026-06-12,Vendredi,08:00,08:50,Studio 1 (Tapis),PILATES FLOW,Coline  D,12,0,True,2026-06-15 08:56
2026-06-12,Vendredi,08:00,08:50,Studio 2 (Reformer),REFORMER | Full Body,Coline  D,12,0,True,2026-06-15 08:56
2026-06-12,Vendredi,09:00,09:50,Studio 1 (Tapis),POWER PILATES,Coline  D,13,6,True,2026-06-15 08:56
2026-06-12,Vendredi,09:00,09:50,Studio 1 (Tapis),POWER PILATES,Coline P,12,0,True,2026-06-15 08:56
2026-06-12,Vendredi,09:00,09:50,Studio 1 (Tapis),BODY SCULPT,Coline P,12,0,True,2026-06-15 08:56
2026-06-12,Vendredi,11:15,12:05,Studio 2 (Reformer),REFORMER | Full Body,Coline  D,12,11,True,2026-06-15 08:56
2026-06-12,Vendredi,12:10,13:00,Studio 1 (Tapis),PILATES ESSENTIALS 50,Béatrice  ,13,7,True,2026-06-15 08:56
2026-06-12,Vendredi,12:15,13:05,Studio 2 (Reformer),REFORMER | Full Body 50,Coline  D,12,6,True,2026-06-15 08:56
2026-06-12,Vendredi,12:30,13:20,Studio 2 (Reformer),REFORMER | Full Body,Sofia  ,12,0,True,2026-06-15 08:56
2026-06-12,Vendredi,13:10,14:00,Studio 1 (Tapis),POWER PILATES,Béatrice  ,13,4,True,2026-06-15 08:56
2026-06-12,Vendredi,13:15,14:05,Studio 2 (Reformer),REFORMER | Full Body,Curtis  ,12,0,True,2026-06-15 08:56
2026-06-12,Vendredi,17:00,17:50,Studio 2 (Reformer),POWER PILATES,Soukaïna  ,12,0,True,2026-06-15 08:56
2026-06-12,Vendredi,18:00,18:50,Studio 1 (Tapis),POWER PILATES,Capucine  ,12,0,True,2026-06-15 08:56
2026-06-12,Vendredi,18:00,18:50,Studio 2 (Reformer),REFORMER | Full Body 50,Soukaïna  ,12,0,True,2026-06-15 08:56
2026-06-12,Vendredi,18:10,19:00,Studio 1 (Tapis),POWER PILATES 50,Manon V ,13,4,True,2026-06-15 08:56
2026-06-12,Vendredi,19:00,19:50,Studio 2 (Reformer),REFORMER | Full Body,Soukaïna  ,12,0,True,2026-06-15 08:56
2026-06-12,Vendredi,19:10,20:00,Studio 1 (Tapis),BODY SCULPT 50,Soukaïna  ,13,3,True,2026-06-15 08:56
2026-06-13,Samedi,09:00,09:50,Studio 1 (Tapis),PILATES FLOW,Mélodie  ,13,0,True,2026-06-15 08:56
2026-06-13,Samedi,09:00,10:00,Studio 1 (Tapis),COURS PRIVÉ TAPIS,Mélodie  ,1,0,True,2026-06-15 08:56
2026-06-13,Samedi,09:00,10:00,Studio 2 (Reformer),AMAT Run & Reformer,Louise  ,12,0,True,2026-06-15 08:56
2026-06-13,Samedi,09:10,10:10,Studio 2 (Reformer),AMAT Run & Reformer,Louise  ,12,0,True,2026-06-15 08:56
2026-06-13,Samedi,10:00,10:50,Studio 1 (Tapis),PILATES ESSENTIALS,Clara Tatjanaa,12,0,True,2026-06-15 08:56
2026-06-13,Samedi,10:00,10:50,Studio 1 (Tapis),POWER PILATES,Mélodie  ,13,13,True,2026-06-15 08:56
2026-06-13,Samedi,10:10,11:00,Studio 2 (Reformer),REFORMER | Full Body | English Class,Clara Tatjanaa,12,10,True,2026-06-15 08:56
2026-06-13,Samedi,11:00,11:50,Studio 1 (Tapis),BODY SCULPT,Mélodie  ,13,12,True,2026-06-15 08:56
2026-06-13,Samedi,11:10,12:00,Studio 2 (Reformer),REFORMER | Full Body,Clara Tatjanaa,12,8,True,2026-06-15 08:56
2026-06-13,Samedi,12:00,12:50,Studio 1 (Tapis),POWER PILATES,Mélodie  ,13,6,True,2026-06-15 08:56
2026-06-13,Samedi,12:10,13:00,Studio 2 (Reformer),REFORMER | Full Body,Clara Tatjanaa,12,6,True,2026-06-15 08:56
2026-06-13,Samedi,13:00,14:00,Studio 2 (Reformer),REFORMER (ENGLISH) x Les Amis,Clara Tatjanaa,0,0,True,2026-06-15 08:56
2026-06-13,Samedi,13:10,14:00,Studio 2 (Reformer),REFORMER | Full Body,Clara Tatjanaa,12,0,True,2026-06-15 08:56
2026-06-13,Samedi,15:00,15:50,Studio 1 (Tapis),BODY SCULPT,Curtis  ,12,0,True,2026-06-15 08:56
2026-06-13,Samedi,15:00,15:50,Studio 2 (Reformer),REFORMER | Full Body,Clara Tatjanaa,12,6,True,2026-06-15 08:56
2026-06-13,Samedi,16:00,16:50,Studio 2 (Reformer),REFORMER JUMP | Full Body,Angelo  ,12,0,True,2026-06-15 08:56
2026-06-13,Samedi,16:10,17:00,Studio 2 (Reformer),REFORMER | Full Body,Curtis  ,12,0,True,2026-06-15 08:56
2026-06-13,Samedi,17:10,18:00,Studio 2 (Reformer),REFORMER | Full Body,Curtis  ,12,0,True,2026-06-15 08:56
2026-06-14,Dimanche,10:00,10:50,Studio 1 (Tapis),POWER PILATES,Louise B,13,0,True,2026-06-15 08:56
2026-06-14,Dimanche,10:10,11:00,Studio 2 (Reformer),REFORMER | Full Body,Manon R,12,0,True,2026-06-15 08:56
2026-06-14,Dimanche,11:00,11:50,Studio 1 (Tapis),BODY SCULPT,Louise B,13,8,True,2026-06-15 08:56
2026-06-14,Dimanche,11:10,12:00,Studio 2 (Reformer),REFORMER | Full Body,Manon R,12,11,True,2026-06-15 08:56
2026-06-14,Dimanche,12:00,12:50,Studio 1 (Tapis),POWER PILATES,Flo B,13,5,True,2026-06-15 08:56
2026-06-14,Dimanche,12:10,13:00,Studio 2 (Reformer),REFORMER | Full Body,Manon R,12,4,True,2026-06-15 08:56
2026-06-14,Dimanche,13:10,14:00,Studio 2 (Reformer),REFORMER | Full Body,Louise  ,12,0,True,2026-06-15 08:56
2026-06-14,Dimanche,13:10,14:00,Studio 2 (Reformer),REFORMER | Full Body,Clara Tatjanaa,12,0,True,2026-06-15 08:56
2026-06-14,Dimanche,15:10,16:00,Studio 2 (Reformer),REFORMER | Full Body,Clara Tatjanaa,12,6,True,2026-06-15 08:56
2026-06-14,Dimanche,16:00,16:50,Studio 1 (Tapis),POWER PILATES,Kay  ,12,0,True,2026-06-15 08:56
2026-06-14,Dimanche,16:10,17:00,Studio 1 (Tapis),POWER PILATES,Flo B,13,6,True,2026-06-15 08:56
2026-06-14,Dimanche,17:00,17:50,Studio 1 (Tapis),BODY SCULPT,Kay  ,12,0,True,2026-06-15 08:56
2026-06-15,Lundi,07:45,08:35,Studio 2 (Reformer),REFORMER | Full Body,Ana  ,12,0,True,2026-06-15 08:56
2026-06-15,Lundi,08:00,08:50,Studio 1 (Tapis),POWER PILATES,Flo B,13,3,True,2026-06-15 08:56
2026-06-15,Lundi,08:00,08:50,Studio 1 (Tapis),PILATES ESSENTIALS,Geraldine  ,12,0,True,2026-06-15 08:56
2026-06-15,Lundi,08:45,09:35,Studio 2 (Reformer),REFORMER | Full Body,Soukaïna  ,12,0,False,2026-06-15 08:56
2026-06-15,Lundi,11:10,12:00,Studio 2 (Reformer),REFORMER | Full Body,Capucine  ,12,0,False,2026-06-15 08:56
2026-06-15,Lundi,11:30,12:20,Studio 2 (Reformer),REFORMER | Full Body,Mélodie  ,12,0,False,2026-06-15 08:56
2026-06-15,Lundi,12:00,12:50,Studio 1 (Tapis),BODY SCULPT 50,Coline  D,13,4,False,2026-06-15 08:56
2026-06-15,Lundi,12:30,13:20,Studio 2 (Reformer),REFORMER | Full Body 50,Clara Tatjanaa,12,3,False,2026-06-15 08:56
2026-06-15,Lundi,13:00,13:50,Studio 1 (Tapis),PILATES FLOW,Coline  D,12,0,False,2026-06-15 08:56
2026-06-15,Lundi,13:00,13:50,Studio 1 (Tapis),POWER PILATES,Coline  D,13,5,False,2026-06-15 08:56
2026-06-15,Lundi,17:00,17:50,Studio 1 (Tapis),BODY SCULPT,Coline  D,12,0,False,2026-06-15 08:56
2026-06-15,Lundi,18:00,18:50,Studio 1 (Tapis),POWER PILATES 50,Soukaïna  ,13,6,False,2026-06-15 08:56
2026-06-15,Lundi,18:15,19:05,Studio 2 (Reformer),REFORMER | Full Body 50,Coline  D,12,11,False,2026-06-15 08:56
2026-06-15,Lundi,19:00,19:50,Studio 1 (Tapis),BODY SCULPT 50,Soukaïna  ,13,11,False,2026-06-15 08:56
2026-06-15,Lundi,19:15,20:05,Studio 2 (Reformer),REFORMER | Full Body 50,Coline  D,12,12,False,2026-06-15 08:56
2026-06-15,Lundi,20:00,20:50,Studio 1 (Tapis),BODY SCULPT,Soukaïna  ,13,6,False,2026-06-15 08:56
2026-06-15,Lundi,20:15,21:05,Studio 2 (Reformer),REFORMER | Full Body,Coline  D,12,8,False,2026-06-15 08:56
2026-06-16,Mardi,07:45,08:35,Studio 1 (Tapis),PILATES FLOW,Coline  D,12,0,False,2026-06-15 08:56
2026-06-16,Mardi,07:45,08:35,Studio 2 (Reformer),REFORMER | Full Body,Mélissa  ,12,0,False,2026-06-15 08:56
2026-06-16,Mardi,08:00,08:50,Studio 1 (Tapis),POWER PILATES,Anais  ,13,2,False,2026-06-15 08:56
2026-06-16,Mardi,08:30,09:20,Studio 1 (Tapis),POWER PILATES,Coline  D,12,0,False,2026-06-15 08:56
2026-06-16,Mardi,08:45,09:35,Studio 1 (Tapis),POWER PILATES,Coline  D,12,0,False,2026-06-15 08:56
2026-06-16,Mardi,08:45,09:35,Studio 2 (Reformer),REFORMER | Full Body,Coline P,12,0,False,2026-06-15 08:56
2026-06-16,Mardi,11:10,12:00,Studio 1 (Tapis),POWER PILATES,Capucine  ,12,0,False,2026-06-15 08:56
2026-06-16,Mardi,11:15,12:05,Studio 2 (Reformer),REFORMER | Full Body,Mélodie  ,12,0,False,2026-06-15 08:56
2026-06-16,Mardi,12:10,13:00,Studio 1 (Tapis),BODY SCULPT 50,Manon V ,13,8,False,2026-06-15 08:56
2026-06-16,Mardi,12:15,13:05,Studio 2 (Reformer),REFORMER | Full Body 50,julie B,12,6,False,2026-06-15 08:56
2026-06-16,Mardi,13:10,14:00,Studio 1 (Tapis),POWER PILATES,Manon V ,13,1,False,2026-06-15 08:56
2026-06-16,Mardi,13:10,14:00,Studio 2 (Reformer),REFORMER | Full Body,Salomée  ,12,0,False,2026-06-15 08:56
2026-06-16,Mardi,13:15,14:05,Studio 2 (Reformer),REFORMER | Full Body,julie B,12,5,False,2026-06-15 08:56
2026-06-16,Mardi,17:10,18:00,Studio 1 (Tapis),BODY SCULPT,Coline  D,12,0,False,2026-06-15 08:56
2026-06-16,Mardi,17:15,18:05,Studio 2 (Reformer),REFORMER | Full Body,Hajar  ,12,0,False,2026-06-15 08:56
2026-06-16,Mardi,18:00,18:50,Studio 1 (Tapis),POWER PILATES 50,Coline  D,13,7,False,2026-06-15 08:56
2026-06-16,Mardi,18:15,19:05,Studio 2 (Reformer),REFORMER | Full Body 50,Hajar  ,12,0,False,2026-06-15 08:56
2026-06-16,Mardi,19:00,19:50,Studio 1 (Tapis),BODY SCULPT 50,Coline  D,13,13,False,2026-06-15 08:56
2026-06-16,Mardi,19:15,20:05,Studio 2 (Reformer),REFORMER | Full Body 50,Hajar  ,12,8,False,2026-06-15 08:56
2026-06-16,Mardi,20:00,20:50,Studio 1 (Tapis),BODY SCULPT,Coline  D,12,0,False,2026-06-15 08:56
2026-06-16,Mardi,20:00,20:50,Studio 1 (Tapis),PILATES FLOW,Coline  D,13,7,False,2026-06-15 08:56
2026-06-16,Mardi,20:15,21:05,Studio 2 (Reformer),REFORMER | Full Body,Curtis  ,12,0,False,2026-06-15 08:56
