date,jour,heure,fin,lieu,cours,coach,capacite,presents,finie,releve
2026-08-02,Dimanche,10:00,10:50,Studio Pilates Reformer,Reformer Full Body,Ornella .,4,4,True,2026-08-05 22:53
2026-08-02,Dimanche,11:00,11:50,Studio Pilates Reformer,Reformer Full Body,Ornella .,4,4,True,2026-08-05 22:53
2026-08-02,Dimanche,12:00,12:50,Studio Pilates Reformer,Reformer Full Body,Ornella .,4,3,True,2026-08-05 22:53
2026-08-02,Dimanche,13:00,13:50,Studio Pilates Reformer,Reformer Full Body,Ornella .,4,0,True,2026-08-05 22:53
2026-08-02,Dimanche,18:00,18:50,Studio Pilates Reformer,Reformer Full Body,Ornella .,4,3,True,2026-08-05 22:53
2026-08-02,Dimanche,19:00,19:50,Studio Pilates Reformer,Reformer Full Body,Ornella .,4,4,True,2026-08-05 22:53
2026-08-03,Lundi,18:00,18:50,Studio Pilates Reformer,Reformer Full Body,Pamela Juarez,4,4,True,2026-08-06 15:27
2026-08-03,Lundi,19:00,19:50,Studio Pilates Reformer,Reformer Full Body,Pamela Juarez,4,4,True,2026-08-06 15:27
2026-08-03,Lundi,20:00,20:50,Studio Pilates Reformer,Reformer Full Body,Pamela Juarez,4,3,True,2026-08-06 15:27
2026-08-04,Mardi,09:00,09:50,Studio Pilates Reformer,Reformer Full Body,Pamela Juarez,4,0,True,2026-08-07 22:26
2026-08-04,Mardi,10:00,10:50,Studio Pilates Reformer,Reformer Full Body,Pamela Juarez,4,4,True,2026-08-07 22:26
2026-08-04,Mardi,12:30,13:20,Studio Pilates Reformer,Reformer Full Body,Pamela Juarez,4,0,True,2026-08-07 22:26
2026-08-04,Mardi,18:00,18:50,Studio Pilates Reformer,Reformer Full Body,Chloé Deligios,4,0,True,2026-08-07 22:26
2026-08-04,Mardi,19:00,19:50,Studio Pilates Reformer,Reformer Full Body,Chloé Deligios,4,0,True,2026-08-07 22:26
2026-08-04,Mardi,20:00,20:50,Studio Pilates Reformer,Reformer Full Body,Chloé Deligios,4,0,True,2026-08-07 22:26
2026-08-05,Mercredi,09:00,09:50,Studio Pilates Reformer,Reformer Full Body,Pamela Juarez,4,0,True,2026-08-08 22:14
2026-08-05,Mercredi,10:00,10:50,Studio Pilates Reformer,Reformer Full Body,Pamela Juarez,4,3,True,2026-08-08 22:14
2026-08-05,Mercredi,12:30,13:20,Studio Pilates Reformer,Reformer Full Body,Pamela Juarez,4,0,True,2026-08-08 22:14
2026-08-05,Mercredi,18:00,18:50,Studio Pilates Reformer,Reformer Full Body,Pamela Juarez,4,4,True,2026-08-08 22:14
2026-08-05,Mercredi,19:00,19:50,Studio Pilates Reformer,Reformer Full Body,Pamela Juarez,4,3,True,2026-08-08 22:14
2026-08-05,Mercredi,20:00,20:50,Studio Pilates Reformer,Reformer Full Body,Pamela Juarez,4,3,True,2026-08-08 22:14
2026-08-06,Jeudi,18:00,18:50,Studio Pilates Reformer,Reformer Full Body,Ornella .,4,2,True,2026-08-09 02:45
2026-08-06,Jeudi,19:00,19:50,Studio Pilates Reformer,Reformer Full Body,Ornella .,4,0,True,2026-08-09 02:45
2026-08-06,Jeudi,20:00,20:50,Studio Pilates Reformer,Reformer Full Body,Ornella .,4,3,True,2026-08-09 02:45
2026-08-07,Vendredi,09:00,09:50,Studio Pilates Reformer,Reformer Full Body,Ornella .,4,4,True,2026-08-10 02:47
2026-08-07,Vendredi,10:00,10:50,Studio Pilates Reformer,Reformer Full Body,Ornella .,4,4,True,2026-08-10 02:47
2026-08-07,Vendredi,12:00,12:50,Studio Pilates Reformer,Reformer Full Body,Pauline Varennes,4,0,True,2026-08-10 02:47
2026-08-07,Vendredi,13:00,13:50,Studio Pilates Reformer,Reformer Full Body,Pauline Varennes,4,0,True,2026-08-10 02:47
2026-08-09,Dimanche,10:00,10:50,Studio Pilates Reformer,Reformer Full Body,Pamela Juarez,4,0,True,2026-08-11 02:46
2026-08-09,Dimanche,11:00,11:50,Studio Pilates Reformer,Reformer Full Body,Pamela Juarez,4,4,True,2026-08-11 02:46
2026-08-09,Dimanche,12:00,12:50,Studio Pilates Reformer,Reformer Full Body,Pamela Juarez,4,3,True,2026-08-11 02:46
2026-08-09,Dimanche,13:00,13:50,Studio Pilates Reformer,Reformer Full Body,Ornella .,4,0,True,2026-08-11 02:46
2026-08-09,Dimanche,18:00,18:50,Studio Pilates Reformer,Reformer Full Body,Ornella .,4,4,True,2026-08-11 02:46
2026-08-09,Dimanche,19:00,19:50,Studio Pilates Reformer,Reformer Full Body,Ornella .,4,2,True,2026-08-11 02:46
2026-08-10,Lundi,18:00,18:50,Studio Pilates Reformer,Reformer Full Body,Pamela Juarez,4,4,True,2026-08-11 02:46
2026-08-10,Lundi,19:00,19:50,Studio Pilates Reformer,Reformer Full Body,Pamela Juarez,4,0,True,2026-08-11 02:46
2026-08-10,Lundi,20:00,20:50,Studio Pilates Reformer,Reformer Full Body,Pamela Juarez,4,0,True,2026-08-11 02:46
2026-08-11,Mardi,09:00,09:50,Studio Pilates Reformer,Reformer Full Body,Pamela Juarez,4,2,False,2026-08-11 02:46
2026-08-11,Mardi,10:00,10:50,Studio Pilates Reformer,Reformer Full Body,Pamela Juarez,4,3,False,2026-08-11 02:46
2026-08-11,Mardi,12:30,13:20,Studio Pilates Reformer,Reformer Full Body,Pamela Juarez,4,2,False,2026-08-11 02:46
2026-08-11,Mardi,18:00,18:50,Studio Pilates Reformer,Reformer Full Body,Chloé Deligios,4,0,False,2026-08-11 02:46
2026-08-11,Mardi,19:00,19:50,Studio Pilates Reformer,Reformer Full Body,Pamela Juarez,4,0,False,2026-08-11 02:46
2026-08-11,Mardi,19:00,19:50,Studio Pilates Reformer,Reformer Full Body,Chloé Deligios,4,0,False,2026-08-11 02:46
2026-08-11,Mardi,20:00,20:50,Studio Pilates Reformer,Reformer Full Body,Chloé Deligios,4,0,False,2026-08-11 02:46
