date,jour,heure,fin,lieu,cours,coach,capacite,presents,finie,releve
2026-08-18,Mardi,12:30,13:30,Studio Selíni YOGA / Pilates,Pilates,Penelope Grapin,18,16,True,2026-08-21 02:36
2026-08-18,Mardi,19:15,20:15,Studio Selíni YOGA / Pilates,Yoga dynamic flow,Canelle Cellier,17,9,True,2026-08-21 02:36
2026-08-19,Mercredi,13:30,14:30,Studio Selíni YOGA / Pilates,Pilates,Laure-Anne .,18,8,True,2026-08-21 02:36
2026-08-19,Mercredi,19:30,20:30,Studio Selíni YOGA / Pilates,Hatha Yoga,Laure-Anne .,18,12,True,2026-08-21 02:36
2026-08-20,Jeudi,12:15,13:15,Studio Selíni YOGA / Pilates,Pilates,Laure-Anne .,18,6,True,2026-08-23 02:35
2026-08-20,Jeudi,19:15,20:15,Studio Selíni YOGA / Pilates,Yoga dynamic flow,Laure-Anne .,18,9,True,2026-08-23 02:35
2026-08-21,Vendredi,12:30,13:30,Studio Selíni YOGA / Pilates,Pilates,Penelope Grapin,18,13,True,2026-08-23 02:35
2026-08-21,Vendredi,17:00,18:00,Studio Selíni YOGA / Pilates,Yin yoga,Laure-Anne .,18,6,True,2026-08-23 02:35
2026-08-21,Vendredi,18:15,19:15,Studio Selíni YOGA / Pilates,Yoga dynamic flow,Laure-Anne .,18,9,True,2026-08-23 02:35
2026-08-22,Samedi,10:15,11:15,Studio Selíni YOGA / Pilates,Yoga dynamic flow,Canelle Cellier,17,8,True,2026-08-23 02:35
2026-08-23,Dimanche,11:00,12:00,Studio Selíni YOGA / Pilates,Yoga dynamic flow,Laure-Anne .,18,9,False,2026-08-23 02:35
2026-08-23,Dimanche,17:00,18:00,Studio Selíni YOGA / Pilates,Pilates,Laure-Anne .,18,13,False,2026-08-23 02:35
2026-08-23,Dimanche,18:15,19:15,Studio Selíni YOGA / Pilates,Yin yoga,Laure-Anne .,18,8,False,2026-08-23 02:35
2026-08-24,Lundi,20:30,21:30,Studio Selíni YOGA / Pilates,Hatha Yoga,Laure-Anne .,18,4,False,2026-08-23 02:35
2026-08-25,Mardi,12:30,13:30,Studio Selíni YOGA / Pilates,Pilates,Penelope Grapin,18,11,False,2026-08-23 02:35
2026-08-25,Mardi,19:15,20:15,Studio Selíni YOGA / Pilates,Yoga dynamic flow,Canelle Cellier,17,4,False,2026-08-23 02:35
