date,jour,heure,fin,lieu,cours,coach,capacite,presents,finie,releve
2026-08-02,Dimanche,10:00,11:00,The Space 12ème,"Yoga Prénatal, FR",Juliette GUERTON,19,0,True,2026-08-05 22:53
2026-08-02,Dimanche,11:00,12:00,The Space 20ème,"Vinyasa Flow, FR",Tiphaine Watelle,19,0,True,2026-08-05 22:53
2026-08-02,Dimanche,11:15,12:15,The Space 12ème,"Vinyasa Dynamique, FR",Camille Kemache,19,18,True,2026-08-05 22:53
2026-08-02,Dimanche,17:15,18:15,The Space 12ème,"Vinyasa Flow, FR",Camille Kemache,19,18,True,2026-08-05 22:53
2026-08-02,Dimanche,19:30,20:45,The Space 20ème,Vinyasa Sunday Reset EN 75min',Christina Feist,19,9,True,2026-08-05 22:53
2026-08-03,Lundi,12:30,13:30,The Space 12ème,"Ashtanga Yoga, ENG",Gabriel Saul,19,16,True,2026-08-05 22:53
2026-08-03,Lundi,18:00,19:00,The Space 12ème,"Jivamukti Yoga, FR",Louise Nunzi,19,0,True,2026-08-05 22:53
2026-08-03,Lundi,19:00,20:00,The Space 12ème,"Vinyasa Yoga, ENG",alice dunoyer,19,12,True,2026-08-05 22:53
2026-08-03,Lundi,19:30,20:30,The Space 20ème,"Vinyasa Dynamique, FR",ROMAIN DUGUET,16,6,True,2026-08-05 22:53
2026-08-04,Mardi,12:30,13:30,The Space 12ème,"Vinyasa Dynamique, FR",Louise Nunzi,19,11,True,2026-08-05 22:53
2026-08-04,Mardi,18:00,19:00,The Space 12ème,"Dynamic Vinyasa, ENG",Shannon Merck,19,10,True,2026-08-05 22:53
2026-08-04,Mardi,18:15,19:15,The Space 20ème,"Candlelight Yin Yoga, FR",Juliette GUERTON,16,0,True,2026-08-05 22:53
2026-08-04,Mardi,19:00,20:00,The Space 12ème,"Candlelight Yin Yoga, FR",Victoria  Soulier,19,0,True,2026-08-05 22:53
2026-08-04,Mardi,19:15,20:15,The Space 20ème,"Vinyasa Dynamique, FR",Amrita Batsou,19,0,True,2026-08-05 22:53
2026-08-04,Mardi,19:30,20:30,The Space 20ème,"Vinyasa & Yin Yoga, FR",Juliette GUERTON,16,12,True,2026-08-05 22:53
2026-08-04,Mardi,20:10,21:10,The Space 12ème,"Vinyasa Flow, FR",Victoria  Soulier,19,10,True,2026-08-05 22:53
2026-08-05,Mercredi,07:45,08:45,The Space 12ème,Morning Vinyasa FR,Jana Chehadee,19,9,True,2026-08-05 22:53
2026-08-05,Mercredi,12:30,13:30,The Space 12ème,"Vinyasa Dynamique, FR",Annsonia Baudelot,19,9,True,2026-08-05 22:53
2026-08-05,Mercredi,12:30,13:30,The Space 20ème,"Jivamukti Yoga, FR",Louise Nunzi,19,0,True,2026-08-05 22:53
2026-08-05,Mercredi,18:00,19:00,The Space 12ème,"Vinyasa & Yin Yoga, FR",Louise Nunzi,19,13,True,2026-08-05 22:53
2026-08-05,Mercredi,19:00,20:15,The Space 12ème,Vinyasa Yoga 75' FR,Louise Nunzi,19,17,True,2026-08-05 22:53
2026-08-05,Mercredi,19:15,20:15,The Space 20ème,"Vinyasa Flow, FR",ROMAIN DUGUET,19,7,True,2026-08-05 22:53
2026-08-06,Jeudi,12:30,13:30,The Space 12ème,"Vinyasa Flow, FR",Jara van der Ham,19,11,False,2026-08-05 22:53
2026-08-06,Jeudi,18:30,19:30,The Space 20ème,"Vinyasa Dynamique, FR",Lauriane Witwicki,19,2,False,2026-08-05 22:53
2026-08-06,Jeudi,19:15,20:15,The Space 12ème,"Vinyasa Flow, FR",ROMAIN DUGUET,19,17,False,2026-08-05 22:53
2026-08-06,Jeudi,20:15,21:15,The Space 12ème,"Candlelight Yin Yoga, ENG",Madelaine VanDerHeyden,19,0,False,2026-08-05 22:53
2026-08-07,Vendredi,11:00,12:00,The Space 12ème,"Vinyasa Flow, FR",Jara van der Ham,19,6,False,2026-08-05 22:53
2026-08-07,Vendredi,11:15,12:15,The Space 12ème,"Yoga Prénatal, FR",Lauriane Witwicki,8,5,False,2026-08-05 22:53
2026-08-07,Vendredi,12:15,13:15,The Space 20ème,"Vinyasa Dynamique, FR",Jana Chehadee,19,3,False,2026-08-05 22:53
2026-08-07,Vendredi,12:30,13:30,The Space 12ème,"Vinyasa Dynamique, FR",Lauriane Witwicki,19,6,False,2026-08-05 22:53
2026-08-07,Vendredi,17:30,18:30,The Space 12ème,"Vinyasa Yoga, ENG",Kira Carrigan,19,6,False,2026-08-05 22:53
2026-08-07,Vendredi,19:00,20:00,The Space 12ème,"Vinyasa & Yin Yoga, FR",ROMAIN DUGUET,19,9,False,2026-08-05 22:53
