date,jour,heure,fin,lieu,cours,coach,capacite,presents,finie,releve
2026-05-26,Mardi,07:00,07:50,The New Me Studio RENNES,REFORMER PILATES,Charlène Obé,14,8,True,2026-05-29 20:20
2026-05-26,Mardi,07:30,08:20,Pilates reformer,FOUNDATIONS,charlene tricaud,10,0,True,2026-05-29 20:20
2026-05-26,Mardi,07:30,08:20,The new me Strasbourg,REFORMER PILATES,Eva Delacote,12,2,True,2026-05-29 20:20
2026-05-26,Mardi,07:45,08:35,The New Me Studio LEVALLOIS,REFORMER,Geraldine S,12,0,True,2026-05-29 20:20
2026-05-26,Mardi,08:00,08:50,BATIGNOLLES REFORMER STUDIO,REFORMER PILATES,Alexia V,12,11,True,2026-05-29 20:20
2026-05-26,Mardi,08:00,08:50,BOSQUET REFORMER STUDIO,REFORMER PILATES,Jessika CRUZ,11,8,True,2026-05-29 20:20
2026-05-26,Mardi,08:00,08:50,MADELEINE REFORMER STUDIO,REFORMER PILATES,Shana  MAMOU,12,4,True,2026-05-29 20:20
2026-05-26,Mardi,08:00,08:50,MARAIS REFORMER STUDIO,REFORMER PILATES,Léane AMRAM,10,7,True,2026-05-29 20:20
2026-05-26,Mardi,08:00,08:50,MAUBEUGE REFORMER STUDIO,REFORMER PILATES,Cynthia GALIN,11,4,True,2026-05-29 20:20
2026-05-26,Mardi,08:00,08:50,MIROMESNIL REFORMER STUDIO,REFORMER PILATES,Soudi ZARGHAM,11,3,True,2026-05-29 20:20
2026-05-26,Mardi,08:00,08:50,NEUILLY NEWFORMER - INTENSE PILATES,NEWFORMER - INTENSE PILATES,Nicolas M,9,9,True,2026-05-29 20:20
2026-05-26,Mardi,08:00,08:50,PASSY NEWFORMER - INTENSE PILATES,NEWFORMER - INTENSE PILATES,Ibrahima BALDE,9,6,True,2026-05-29 20:20
2026-05-26,Mardi,08:00,08:50,The New Me Lille,REFORMER,Philippe Robert,10,0,True,2026-05-29 20:20
2026-05-26,Mardi,08:00,08:50,The New Me St Laurent du Var - Reformers Studio,REFORMER PILATES,Amelie Duchesne,10,0,True,2026-05-29 20:20
2026-05-26,Mardi,08:00,08:50,The New Me Studio NANTES,REFORMER PILATES,Claire Hetet,12,5,True,2026-05-29 20:20
2026-05-26,Mardi,08:00,08:50,The New Me Studio RENNES,REFORMER PILATES,Charlène Obé,14,6,True,2026-05-29 20:20
2026-05-26,Mardi,08:00,08:50,VAUGIRARD RÉFORMER STUDIO,REFORMER PILATES,Jeremy KRYSTKOWIAK,11,3,True,2026-05-29 20:20
2026-05-26,Mardi,08:00,08:50,VAVIN REFORMER STUDIO,REFORMER PILATES,Louise D,12,10,True,2026-05-29 20:20
2026-05-26,Mardi,08:00,08:50,WAGRAM REFORMER STUDIO,REFORMER PILATES,Candice TOUBIANA @candice.pilates,11,0,True,2026-05-29 20:20
2026-05-26,Mardi,08:10,09:00,The New Me Studio SAINT-GERMAIN-EN-LAYE,REFORMER PILATES,Tzali Blanchot,14,0,True,2026-05-29 20:20
2026-05-26,Mardi,08:30,09:20,Pilates reformer,FOUNDATIONS,charlene tricaud,10,0,True,2026-05-29 20:20
2026-05-26,Mardi,08:30,09:20,The New Me Orléans - Reformer Studio,Reformer Pilates,Elodie Marie Rose,13,0,True,2026-05-29 20:20
2026-05-26,Mardi,08:45,09:35,The New Me Orléans - Gym Studio,Full Body Signature (Gym Studio),Enzo Pichoff,12,3,True,2026-05-29 20:20
2026-05-26,Mardi,08:45,09:35,The New Me Studio LEVALLOIS,REFORMER,Geraldine S,12,0,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,BATIGNOLLES REFORMER STUDIO,REFORMER PILATES,Alexia V,12,6,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,BOSQUET REFORMER STUDIO,REFORMER PILATES,Jessika CRUZ,11,11,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,BOULOGNE REFORMER STUDIO,REFORMER PILATES,Anaïs CHRISTIAENS,12,7,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,INVALIDES REFORMER STUDIO,REFORMER PILATES,Tioka TOKEDIRA,10,8,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,MADELEINE REFORMER STUDIO,REFORMER PILATES,Shana  MAMOU,12,0,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,MARAIS REFORMER STUDIO,REFORMER PILATES,Léane AMRAM,10,3,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,MAUBEUGE REFORMER STUDIO,REFORMER PILATES,Cynthia GALIN,11,4,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,MIROMESNIL REFORMER STUDIO,REFORMER PILATES,Soudi ZARGHAM,11,2,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,10:00,MOZART GYM STUDIO - MAT,KALON BARRE,KALON BARRE @kalon.movement,16,16,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,Mat Studio - The New Me,🩷 PILATES FLOW - Tapis,Zakaria Fathi,6,0,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:45,NEUILLY GYM STUDIO - MAT,BARRE WORKOUT,Cynthia MONTANO,12,5,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,NEUILLY NEWFORMER - INTENSE PILATES,NEWFORMER - INTENSE PILATES,Nicolas M,9,9,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,PASSY NEWFORMER - INTENSE PILATES,NEWFORMER - INTENSE PILATES,Ibrahima BALDE,9,7,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,Reformer Studio - The New Me,FULL BODY SIGNATURE - Reformer,Marine Almeida,12,3,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,SAINT MANDÉ REFORMER STUDIO,REFORMER PILATES,Aude SCHLACTHER,12,3,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,SENTIER REFORMER STUDIO,REFORMER PILATES,Karla PIMEN,14,0,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,THE NEW ME CLERMONT-FERRAND,REFORMER PILATES,Flavien Girard,10,0,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,THE NEW ME LORIENT,REFORMER PILATES,Marie Blondie,10,3,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,The New Me LE HAVRE,REFORMER PILATES,Emilie Flenet,10,4,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,The New Me Lille,REFORMER,Naïma EL MEKKI,10,0,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,The New Me Reims,REFORMER,Sophie MULLER,12,4,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,The New Me St Laurent du Var - Reformers Studio,REFORMER PILATES,Amelie Duchesne,10,0,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,The New Me Studio ANNECY,REFORMER PILATES,Maud Prunier,12,4,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,The New Me Studio MARSEILLE,FULL BODY,Claire Merle,13,5,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,The New Me Studio RENNES,REFORMER PILATES,Charlène Obé,14,9,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,The New Me Studio SAINT-GERMAIN-EN-LAYE,REFORMER PILATES,Tzali Blanchot,14,4,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,The new me Strasbourg,REFORMER PILATES,Eva Delacote,12,0,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,VAUGIRARD RÉFORMER STUDIO,REFORMER PILATES,Jeremy KRYSTKOWIAK,11,4,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,VAVIN REFORMER STUDIO,REFORMER PILATES,Louise D,12,11,True,2026-05-29 20:20
2026-05-26,Mardi,09:00,09:50,WAGRAM REFORMER STUDIO,REFORMER PILATES,Candice TOUBIANA @candice.pilates,11,4,True,2026-05-29 20:20
2026-05-26,Mardi,09:30,10:20,Pilates reformer,FOUNDATIONS,charlene tricaud,10,0,True,2026-05-29 20:20
2026-05-26,Mardi,09:30,10:20,The New Me Studio AIX EN PROVENCE,FULL BODY,Laurie Coaching,10,6,True,2026-05-29 20:20
2026-05-26,Mardi,09:30,10:20,The New Me Studio ROUEN,REFORMER PILATES,Solene Aymard,12,7,True,2026-05-29 20:20
2026-05-26,Mardi,09:45,10:35,The New Me Orléans - Gym Studio,Pilates Foundations (Gym Studio),Enzo Pichoff,12,1,True,2026-05-29 20:20
2026-05-26,Mardi,09:45,10:35,The New Me Studio LEVALLOIS,REFORMER,Geraldine S,12,5,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:50,BATIGNOLLES REFORMER STUDIO,REFORMER PILATES,Alexia V,12,8,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:50,BOSQUET REFORMER STUDIO,REFORMER PILATES,Jessika CRUZ,11,11,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:50,BOULOGNE REFORMER STUDIO,REFORMER PILATES,Anaïs CHRISTIAENS,12,5,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:50,INVALIDES REFORMER STUDIO,REFORMER PILATES,Tioka TOKEDIRA,10,0,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:50,MARAIS REFORMER STUDIO,REFORMER PILATES,Léane AMRAM,10,3,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:50,MAUBEUGE REFORMER STUDIO,REFORMER PILATES,Cynthia GALIN,11,2,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,11:00,MOZART GYM STUDIO - MAT,DYNAMIC PILATES,Jackie AITKEN,16,16,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,11:00,NEUILLY GYM STUDIO - MAT,BARRE WORKOUT,Cynthia MONTANO,12,9,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:50,NEUILLY NEWFORMER - INTENSE PILATES,NEWFORMER - INTENSE PILATES,Nicolas M,9,9,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:50,PASSY NEWFORMER - INTENSE PILATES,NEWFORMER - INTENSE PILATES,Ibrahima BALDE,9,4,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:50,Reformer Studio - The New Me,FOUNDATIONS - Reformer,Marine Almeida,12,0,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:50,SAINT MANDÉ REFORMER STUDIO,REFORMER PILATES,Aude SCHLACTHER,12,4,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:50,SENTIER REFORMER STUDIO,REFORMER PILATES,Karla PIMEN,14,0,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:50,THE NEW ME CLERMONT-FERRAND,REFORMER PILATES,Flavien Girard,10,5,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:50,THE NEW ME LORIENT,REFORMER PILATES,Marie Blondie,10,3,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:50,The New Me LE HAVRE,REFORMER PILATES,Emilie Flenet,10,6,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:50,The New Me Lille,REFORMER,Naïma EL MEKKI,10,5,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:50,The New Me Orléans - Reformer Studio,Reformer Pilates,Elodie Marie Rose,13,4,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:50,The New Me St Laurent du Var - Reformers Studio,REFORMER PILATES,Amelie Duchesne,10,0,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:50,The New Me Studio ANNECY,REFORMER PILATES,Maud Prunier,12,8,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:50,The New Me Studio NANTES,REFORMER PILATES,Claire Hetet,12,7,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:50,The New Me Studio RENNES,REFORMER PILATES,Paul BERTRE,14,9,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:50,The New Me Studio SAINT-GERMAIN-EN-LAYE,REFORMER PILATES,Tzali Blanchot,14,7,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:50,VAUGIRARD RÉFORMER STUDIO,REFORMER PILATES,Houssem Boutiti,11,4,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:50,VAVIN REFORMER STUDIO,REFORMER PILATES,Louise D,12,12,True,2026-05-29 20:20
2026-05-26,Mardi,10:00,10:50,WAGRAM REFORMER STUDIO,REFORMER PILATES,Candice TOUBIANA @candice.pilates,11,5,True,2026-05-29 20:20
2026-05-26,Mardi,10:30,11:20,MADELEINE REFORMER STUDIO,REFORMER PILATES,Shana  MAMOU,12,0,True,2026-05-29 20:20
2026-05-26,Mardi,10:30,11:20,The New Me Studio MARSEILLE,FULL BODY,Claire Merle,13,5,True,2026-05-29 20:20
2026-05-26,Mardi,10:30,11:20,The New Me Studio VERSAILLES,REFORMER PILATES,Emmanuelle Tipa,12,7,True,2026-05-29 20:20
2026-05-26,Mardi,10:45,11:35,The New Me Studio AIX EN PROVENCE,FULL BODY,Laurie Coaching,10,3,True,2026-05-29 20:20
2026-05-26,Mardi,11:00,11:50,BATIGNOLLES REFORMER STUDIO,REFORMER PILATES,Philippine DESTAING,12,3,True,2026-05-29 20:20
2026-05-26,Mardi,11:00,11:50,MAUBEUGE REFORMER STUDIO,REFORMER PILATES,Pauline RAMON @pilatesbypops,11,7,True,2026-05-29 20:20
2026-05-26,Mardi,11:00,11:50,NEUILLY NEWFORMER - INTENSE PILATES,NEWFORMER - INTENSE PILATES,Nicolas M,9,5,True,2026-05-29 20:20
2026-05-26,Mardi,11:00,11:50,PASSY NEWFORMER - INTENSE PILATES,NEWFORMER - INTENSE PILATES,Carla @training_by_carla,9,8,True,2026-05-29 20:20
2026-05-26,Mardi,11:00,11:50,THE NEW ME CLERMONT-FERRAND,REFORMER PILATES,Megane Landomiel,10,5,True,2026-05-29 20:20
2026-05-26,Mardi,11:00,11:50,THENEWME BREST,REFORMER PILATES,Nicolas Grall,14,4,True,2026-05-29 20:20
2026-05-26,Mardi,11:00,11:50,The New Me Lille,REFORMER,Lea Dupire,10,0,True,2026-05-29 20:20
2026-05-26,Mardi,11:00,11:50,The New Me Reims,REFORMER,Marianne BUISSON,12,7,True,2026-05-29 20:20
2026-05-26,Mardi,11:00,11:50,The New Me St Laurent du Var - Gym Studio,PILATES FOUNDATIONS - Gym studio,Amelie Duchesne,10,4,True,2026-05-29 20:20
2026-05-26,Mardi,11:00,11:50,The New Me St Laurent du Var - Reformers Studio,REFORMER PILATES,Laurine Housseaux,10,0,True,2026-05-29 20:20
2026-05-26,Mardi,11:00,11:50,VAUGIRARD RÉFORMER STUDIO,REFORMER PILATES,Houssem Boutiti,11,3,True,2026-05-29 20:20
2026-05-26,Mardi,11:00,11:50,VAVIN REFORMER STUDIO,REFORMER PILATES,Louise D,12,3,True,2026-05-29 20:20
2026-05-26,Mardi,11:00,11:50,WAGRAM REFORMER STUDIO,REFORMER PILATES,Candice TOUBIANA @candice.pilates,11,7,True,2026-05-29 20:20
2026-05-26,Mardi,11:30,12:30,NEUILLY GYM STUDIO - MAT,DYNAMIC PILATES,Kim G,12,0,True,2026-05-29 20:20
2026-05-26,Mardi,11:30,12:20,Reformer Studio - The New Me,FULL BODY SIGNATURE - Reformer,Marine Almeida,12,9,True,2026-05-29 20:20
